Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>591.4994@14.29,,Approved,Super Sample,Diacylglycerols,12,,Y,N,185080.0389161065,373890.75
>>591.4976@14.29,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,12,,Y,N,0,229009
>>591.5058@14.33,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,7,,Y,N,0,205045
>>591.4973@14.29,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,12,,Y,N,0,321029
>>591.4972@14.28,,,"QE_18_45_0,05p_SIS1_20181110050800",Diacylglycerols,12,,Y,N,0,371993
>>591.4975@14.24,,,"QE_18_45_0,05p_SIS2_20181110054301",Diacylglycerols,12,,Y,N,0,171805
>>591.4991@14.31,,,"QE_18_45_0,05p_SIS3_20181110061802",Diacylglycerols,12,,Y,N,0,269836
>>591.5048@14.28,,,"QE_18_45_0,05p_VIR1_20181110124308",Diacylglycerols,12,,Y,N,0,469103
>>591.4983@14.29,,,"QE_18_45_0,05p_VIR2_20181110131811",Diacylglycerols,12,,Y,N,0,406271
>>591.4993@14.30,,,"QE_18_45_0,05p_VIR3_20181110135312",Diacylglycerols,12,,Y,N,0,325762
>>591.4970@14.28,,,"QE_18_45_0,05p_VIS1_20181110094805",Diacylglycerols,12,,Y,N,0,899354
>>591.4987@14.29,,,"QE_18_45_0,05p_VIS2_20181110102309",Diacylglycerols,12,,Y,N,0,498521
>>591.5000@14.29,,,"QE_18_45_0,05p_VIS3_20181110105810",Diacylglycerols,12,,Y,N,0,318961
>535.4369@14.57,,Approved,Super Sample,Diacylglycerols,12,,Y,N,128813.84993564573,287097.9166666667
>>535.4365@14.57,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,2,,Y,N,0,197571
>>535.4438@14.58,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,12,,Y,N,0,285449
>>535.4352@14.57,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,12,,N,N,0,216876
>>535.4351@14.58,,,"QE_18_45_0,05p_SIS1_20181110050800",Diacylglycerols,12,,Y,N,0,303661
>>535.4353@14.57,,,"QE_18_45_0,05p_SIS2_20181110054301",Diacylglycerols,12,,N,N,0,116086
>>535.4365@14.58,,,"QE_18_45_0,05p_SIS3_20181110061802",Diacylglycerols,12,,Y,N,0,222480
>>535.4417@14.57,,,"QE_18_45_0,05p_VIR1_20181110124308",Diacylglycerols,12,,Y,N,0,353822
>>535.4367@14.57,,,"QE_18_45_0,05p_VIR2_20181110131811",Diacylglycerols,9,,N,N,0,156945
>>535.4355@14.57,,,"QE_18_45_0,05p_VIR3_20181110135312",Diacylglycerols,11,,N,N,0,186365
>>535.4349@14.57,,,"QE_18_45_0,05p_VIS1_20181110094805",Diacylglycerols,12,,Y,N,0,495106
>>535.4361@14.57,,,"QE_18_45_0,05p_VIS2_20181110102309",Diacylglycerols,12,,Y,N,0,557901
>>535.4357@14.57,,,"QE_18_45_0,05p_VIS3_20181110105810",Diacylglycerols,12,,Y,N,0,352913
>552.4628@14.58,,Approved,Super Sample,Diacylglycerols,12,,Y,N,762078.9566849493,1717968.25
>>552.4618@14.57,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,12,,Y,N,0,1223290
>>552.4682@14.58,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,12,,Y,N,0,1459860
>>552.4604@14.58,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,12,,Y,N,0,1189670
>>552.4614@14.58,,,"QE_18_45_0,05p_SIS1_20181110050800",Diacylglycerols,1,,Y,N,0,1984350
>>552.4618@14.57,,,"QE_18_45_0,05p_SIS2_20181110054301",Diacylglycerols,4,,Y,N,0,761119
>>552.4629@14.58,,,"QE_18_45_0,05p_SIS3_20181110061802",Diacylglycerols,12,,Y,N,0,1268660
>>552.4683@14.58,,,"QE_18_45_0,05p_VIR1_20181110124308",Diacylglycerols,12,,Y,N,0,2278420
>>552.4621@14.58,,,"QE_18_45_0,05p_VIR2_20181110131811",Diacylglycerols,10,,Y,N,0,1089080
>>552.4618@14.57,,,"QE_18_45_0,05p_VIR3_20181110135312",Diacylglycerols,12,,Y,N,0,1093790
>>552.4611@14.57,,,"QE_18_45_0,05p_VIS1_20181110094805",Diacylglycerols,12,,Y,N,0,2754370
>>552.4618@14.58,,,"QE_18_45_0,05p_VIS2_20181110102309",Diacylglycerols,12,,Y,N,0,3412210
>>552.4622@14.58,,,"QE_18_45_0,05p_VIS3_20181110105810",Diacylglycerols,12,,Y,N,0,2100800
>933.7740@14.76,,Approved,Super Sample,Triacylglycerols,9,,Y,N,3353428.15951859,1551782.6416666668
>>933.7726@14.76,,,"QE_18_45_0,05p_SIR3_20181110083804",Triacylglycerols,7,,Y,N,0,962312
>>933.7730@14.76,,,"QE_18_45_0,05p_SIS1_20181110050800",Triacylglycerols,12,,Y,N,0,1828100
>>933.7736@14.76,,,"QE_18_45_0,05p_SIS2_20181110054301",Triacylglycerols,10,,Y,N,0,1748480
>>933.7767@14.77,,,"QE_18_45_0,05p_VIR1_20181110124308",Triacylglycerols,12,,N,N,0,94023
>>933.7744@14.76,,,"QE_18_45_0,05p_VIR2_20181110131811",Triacylglycerols,12,,N,N,0,69563
>>933.7741@14.76,,,"QE_18_45_0,05p_VIR3_20181110135312",Triacylglycerols,10,,N,N,0,45135
>>933.7727@14.76,,,"QE_18_45_0,05p_VIS1_20181110094805",Triacylglycerols,11,,Y,N,0,12431300
>>933.7743@14.77,,,"QE_18_45_0,05p_VIS2_20181110102309",Triacylglycerols,12,,N,N,0,41669
>>933.7744@14.76,,,"QE_18_45_0,05p_VIS3_20181110105810",Triacylglycerols,12,,Y,N,0,1400810
>578.4783@14.78,,Approved,Super Sample,Diacylglycerols,12,,Y,N,490442.0660411607,809751.6666666666
>>578.4771@14.80,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,12,,Y,N,0,526097
>>578.4849@14.78,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,12,,Y,N,0,575953
>>578.4765@14.79,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,1,,N,N,0,405877
>>578.4765@14.79,,,"QE_18_45_0,05p_SIS1_20181110050800",Diacylglycerols,12,,Y,N,0,666009
>>578.4769@14.78,,,"QE_18_45_0,05p_SIS2_20181110054301",Diacylglycerols,12,,N,N,0,355541
>>578.4780@14.78,,,"QE_18_45_0,05p_SIS3_20181110061802",Diacylglycerols,12,,Y,N,0,526958
>>578.4839@14.79,,,"QE_18_45_0,05p_VIR1_20181110124308",Diacylglycerols,12,,Y,N,0,1348310
>>578.4773@14.78,,,"QE_18_45_0,05p_VIR2_20181110131811",Diacylglycerols,12,,Y,N,0,554172
>>578.4772@14.78,,,"QE_18_45_0,05p_VIR3_20181110135312",Diacylglycerols,12,,Y,N,0,673500
>>578.4764@14.79,,,"QE_18_45_0,05p_VIS1_20181110094805",Diacylglycerols,12,,Y,N,0,1059140
>>578.4778@14.79,,,"QE_18_45_0,05p_VIS2_20181110102309",Diacylglycerols,10,,Y,N,0,2167230
>>578.4775@14.78,,,"QE_18_45_0,05p_VIS3_20181110105810",Diacylglycerols,4,,Y,N,0,858233
>602.4782@14.87,,Approved,Super Sample,Diacylglycerols,12,,Y,N,141595.15551584226,371929.3333333333
>>602.4771@14.87,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,12,,Y,N,0,272049
>>602.4851@14.88,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,12,,N,N,0,340660
>>602.4766@14.87,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,6,,Y,N,0,351207
>>602.4745@14.87,,,"QE_18_45_0,05p_SIS1_20181110050800",Diacylglycerols,12,,Y,N,0,667631
>>602.4768@14.88,,,"QE_18_45_0,05p_SIS2_20181110054301",Diacylglycerols,12,,N,N,0,118357
>>602.4780@14.88,,,"QE_18_45_0,05p_SIS3_20181110061802",Diacylglycerols,9,,Y,N,0,314797
>>602.4842@14.88,,,"QE_18_45_0,05p_VIR1_20181110124308",Diacylglycerols,12,,N,N,0,371558
>>602.4776@14.88,,,"QE_18_45_0,05p_VIR2_20181110131811",Diacylglycerols,11,,N,N,0,193395
>>602.4770@14.88,,,"QE_18_45_0,05p_VIR3_20181110135312",Diacylglycerols,12,,Y,N,0,403873
>>602.4764@14.86,,,"QE_18_45_0,05p_VIS1_20181110094805",Diacylglycerols,12,,Y,N,0,548255
>>602.4778@14.87,,,"QE_18_45_0,05p_VIS2_20181110102309",Diacylglycerols,11,,Y,N,0,421140
>>602.4775@14.87,,,"QE_18_45_0,05p_VIS3_20181110105810",Diacylglycerols,12,,Y,N,0,460230
>511.4434@15.32,,Approved,Super Sample,Diacylglycerols,12,,Y,N,202138.5836418229,406344.3333333333
>>511.4412@15.31,,,"QE_18_45_0,05p_SIR1_20181110072802",Diacylglycerols,3,,Y,N,0,332896
>>511.4492@15.33,,,"QE_18_45_0,05p_SIR2_20181110080303",Diacylglycerols,2,,Y,N,0,320578
>>511.4443@15.33,,,"QE_18_45_0,05p_SIR3_20181110083804",Diacylglycerols,12,,Y,N,0,195884
