Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
591.4994@14.29,"3","78.65","98.62","98.47","77.36","3","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:0/18:3","590.4910","1.8","[M+H]+"
535.4369@14.57,"3","79.08","98.18","99.72","85.49","4","DG(12:0/18:3(9Z,12Z,15Z)/0:0)","C33H58O5","Diacylglycerols","30:3","12:0/18:3","534.4284","2.3","[M+H]+"
552.4628@14.58,"3","78.75","99.64","99.58","76.04","4","DG(12:0/18:3(9Z,12Z,15Z)/0:0)","C33H58O5","Diacylglycerols","30:3","12:0/18:3","534.4284","1.0","[M+NH4]+"
933.7740@14.76,"3","69.68","15.42","98.42","64.30","3","TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:0)","C59H106O6","Triacylglycerols","56:4","18:2/18:2/20:0","910.7989","15.2","[M+Na]+"
578.4783@14.78,"3","78.85","99.80","97.77","79.57","4","DG(14:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C35H60O5","Diacylglycerols","32:4","14:1/18:3","560.4441","0.7","[M+NH4]+"
602.4782@14.87,"3","78.02","99.90","98.83","61.74","1","DG(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C37H60O5","Diacylglycerols","34:6","12:0/22:6","584.4441","0.5","[M+NH4]+"
511.4434@15.32,"3","68.86","47.47","0.00","82.30","3","DG(12:0/16:1(9Z)/0:0)","C31H58O5","Diacylglycerols","28:1","12:0/16:1","510.4284","15.0","[M+H]+"
528.4629@15.33,"3","79.20","99.59","99.87","84.96","5","DG(12:0/16:1(9Z)/0:0)","C31H58O5","Diacylglycerols","28:1","12:0/16:1","510.4284","1.1","[M+NH4]+"
511.4374@15.33,"3","77.26","96.44","69.94","82.45","3","DG(12:0/16:1(9Z)/0:0)","C31H58O5","Diacylglycerols","28:1","12:0/16:1","510.4284","3.3","[M+H]+"
604.4941@15.43,"3","77.56","99.71","97.23","54.64","1","DG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C37H62O5","Diacylglycerols","34:5","14:1/20:4","586.4597","0.8","[M+NH4]+"
630.5094@15.52,"3","76.38","99.96","61.84","65.83","4","DG(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C39H64O5","Diacylglycerols","36:6","14:1/22:5","612.4754","0.3","[M+NH4]+"
537.4526@15.59,"3","77.56","98.03","76.75","78.42","4","DG(12:0/18:2(9Z,12Z)/0:0)","C33H60O5","Diacylglycerols","30:2","12:0/18:2","536.4441","2.4","[M+H]+"
554.4783@15.60,"3","79.46","99.79","99.96","89.66","6","DG(12:0/18:2(9Z,12Z)/0:0)","C33H60O5","Diacylglycerols","30:2","12:0/18:2","536.4441","0.7","[M+NH4]+"
554.4782@15.70,"3","74.41","99.93","0.00","88.27","6","DG(12:0/18:2(9Z,12Z)/0:0)","C33H60O5","Diacylglycerols","30:2","12:0/18:2","536.4441","0.4","[M+NH4]+"
619.5225@15.71,"3","72.99","55.62","78.47","70.04","3","DG(18:0/18:3(9Z,12Z,15Z)/0:0)","C39H70O5","Diacylglycerols","36:3","18:0/18:3","618.5223","11.5","[M+H]+"
604.4937@15.80,"3","77.90","99.98","89.28","68.81","3","DG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C37H62O5","Diacylglycerols","34:5","14:0/20:5","586.4597","0.2","[M+NH4]+"
580.4939@15.81,"3","79.44","99.87","99.32","89.77","6","DG(14:1(9Z)/18:2(9Z,12Z)/0:0)","C35H62O5","Diacylglycerols","32:3","14:1/18:2","562.4597","0.6","[M+NH4]+"
630.5096@15.90,"3","79.24","99.85","99.51","85.51","6","DG(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C39H64O5","Diacylglycerols","36:6","16:1/20:5","612.4754","0.6","[M+NH4]+"
563.4673@16.10,"3","73.72","99.87","0.00","74.61","4","DG(14:0/18:3(9Z,12Z,15Z)/0:0)","C35H62O5","Diacylglycerols","32:3","14:0/18:3","562.4597","0.6","[M+H]+"
