GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGL02010032,UHPKYXAUVQOHQL-DSZXWZEOSA-N,591.4994,14.29,[M+H]+,34:3,"DG(16:0/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
1,LMGL02010474,NFVDEXJHCNKRNB-XEQVECQLSA-N,591.4994,14.29,[M+H]+,34:3,"DG(18:3(6Z,9Z,12Z)/16:0/0:0)","Diacylglycerols",,"GL"
2,LMGL02010338,OVXBYAVUHYYCHZ-RZPBQJGJSA-N,535.4369,14.57,[M+H]+,30:3,"DG(12:0/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
3,LMGL02010338,OVXBYAVUHYYCHZ-RZPBQJGJSA-N,552.4628,14.58,[M+NH4]+,30:3,"DG(12:0/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
4,LMGL03010533,VWXJLMSFRQUUMS-SSLMJEBCSA-N,933.7740,14.76,[M+Na]+,56:4,"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/20:0)","Triacylglycerols",,"GL"
4,LMGL03014896,NITIHJWGEKWFRZ-PBLZVAAOSA-N,933.7740,14.76,[M+Na]+,56:4,"TG(14:1(9Z)/20:0/22:3(10Z,13Z,16Z))","Triacylglycerols",,"GL"
4,LMGL03014491,PWLBGEZKYAZHDE-ZFPCNBRMSA-N,933.7740,14.76,[M+Na]+,56:4,"TG(14:0/20:0/22:4(7Z,10Z,13Z,16Z))","Triacylglycerols",,"GL"
4,LMGL03010552,SBXRNNCADMDLIC-VMGYQDEZSA-N,933.7740,14.76,[M+Na]+,56:4,"TG(16:0/20:0/20:4(5Z,8Z,11Z,14Z))","Triacylglycerols",,"GL"
4,LMGL03010547,SLMOYJVEKTXUIV-GZVXJXNJSA-N,933.7740,14.76,[M+Na]+,56:4,"TG(16:1(9Z)/20:0/20:3(8Z,11Z,14Z))","Triacylglycerols",,"GL"
5,LMGL02010410,VMPFJVBUSSLDKJ-UKRSEQBJSA-N,578.4783,14.78,[M+NH4]+,32:4,"DG(14:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
6,LMGL02010353,YMDAKYHPHHIDDO-QZXJYXSHSA-N,602.4782,14.87,[M+NH4]+,34:6,"DG(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Diacylglycerols",,"GL"
7,LMGL02010322,XQMKEZANBKLEQT-ISAPRFSOSA-N,511.4434,15.32,[M+H]+,28:1,"DG(12:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
8,LMGL02010322,XQMKEZANBKLEQT-ISAPRFSOSA-N,528.4629,15.33,[M+NH4]+,28:1,"DG(12:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
9,LMGL02010322,XQMKEZANBKLEQT-ISAPRFSOSA-N,511.4374,15.33,[M+H]+,28:1,"DG(12:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
10,LMGL02010416,DJCGWFGVVMXSPO-LJIUOZACSA-N,604.4941,15.43,[M+NH4]+,34:5,"DG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","Diacylglycerols",,"GL"
11,LMGL02010424,QSZQNXRKRGRBGH-ABHQEDCTSA-N,630.5094,15.52,[M+NH4]+,36:6,"DG(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","Diacylglycerols",,"GL"
11,LMGL02010328,JVRVKOOOXHGJKI-ITLZUPGPSA-N,630.5094,15.52,[M+NH4]+,36:6,"DG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/0:0)","Diacylglycerols",,"GL"
11,LMGL02010482,OGEVDGPPHTZMPM-BSKUQPOYSA-N,630.5094,15.52,[M+NH4]+,36:6,"DG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
11,LMGL02010079,RAPBJBKXYYMYAY-CGENZCGBSA-N,630.5094,15.52,[M+NH4]+,36:6,"DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
