Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>640.5875@12.65,,Approved,Super Sample,Diacylglycerols,12,,Y,N,3837867.440019768,16811721.666666668
>>640.5874@12.66,,,20181130_pos_SIR1,Diacylglycerols,12,,Y,N,0,18609000
>>640.5875@12.65,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,16295000
>>640.5875@12.64,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,15813900
>>640.5875@12.66,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,20191900
>>640.5874@12.64,,,20181130_pos_SIS2,Diacylglycerols,12,,Y,N,0,19028800
>>640.5875@12.65,,,20181130_pos_SIS3,Diacylglycerols,3,,Y,N,0,7754660
>>640.5875@12.64,,,20181130_pos_VIR1,Diacylglycerols,2,,Y,N,0,22173000
>>640.5874@12.66,,,20181130_pos_VIR2,Diacylglycerols,4,,Y,N,0,18013900
>>640.5875@12.64,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,10805700
>>640.5875@12.66,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,18618800
>>640.5875@12.66,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,18637500
>>640.5875@12.66,,,20181130_pos_VIS3,Diacylglycerols,10,,Y,N,0,15798500
>554.4784@13.57,,Approved,Super Sample,Diacylglycerols,12,,Y,N,2443098.091426812,4002050
>>554.4785@13.58,,,20181130_pos_SIR1,Diacylglycerols,12,,N,N,0,2196970
>>554.4786@13.57,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,2560610
>>554.4784@13.56,,,20181130_pos_SIR3,Diacylglycerols,12,,N,N,0,3102140
>>554.4786@13.58,,,20181130_pos_SIS1,Diacylglycerols,12,,N,N,0,3452120
>>554.4784@13.57,,,20181130_pos_SIS2,Diacylglycerols,2,,N,N,0,1406750
>>554.4777@13.56,,,20181130_pos_SIS3,Diacylglycerols,12,,N,N,0,2152860
>>554.4785@13.57,,,20181130_pos_VIR1,Diacylglycerols,12,,N,N,0,9560790
>>554.4784@13.57,,,20181130_pos_VIR2,Diacylglycerols,12,,N,N,0,2052940
>>554.4784@13.57,,,20181130_pos_VIR3,Diacylglycerols,12,,N,N,0,2862270
>>554.4785@13.58,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,7337630
>>554.4787@13.57,,,20181130_pos_VIS2,Diacylglycerols,11,,N,N,0,6750270
>>554.4785@13.56,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,4589250
>580.4939@13.99,,Approved,Super Sample,Diacylglycerols,12,,Y,N,1686805.3358894864,2263603.5833333335
>>580.4940@13.99,,,20181130_pos_SIR1,Diacylglycerols,12,,N,N,0,977959
>>580.4939@13.99,,,20181130_pos_SIR2,Diacylglycerols,12,,N,N,0,1448190
>>580.4939@13.98,,,20181130_pos_SIR3,Diacylglycerols,12,,N,N,0,1461540
>>580.4939@13.99,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,2003410
>>580.4939@13.99,,,20181130_pos_SIS2,Diacylglycerols,12,,N,N,0,614014
>>580.4938@14.00,,,20181130_pos_SIS3,Diacylglycerols,12,,N,N,0,1102830
>>580.4939@13.99,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,3864130
>>580.4939@13.98,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,1990020
>>580.4939@13.98,,,20181130_pos_VIR3,Diacylglycerols,12,,N,N,0,1688620
>>580.4939@13.99,,,20181130_pos_VIS1,Diacylglycerols,12,,N,N,0,2678190
>>580.4940@13.99,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,7152440
>>580.4939@13.99,,,20181130_pos_VIS3,Diacylglycerols,12,,N,N,0,2181900
>668.6187@14.18,,Approved,Super Sample,Diacylglycerols,12,,Y,N,5480562.048193344,24031991.666666668
>>668.6187@14.18,,,20181130_pos_SIR1,Diacylglycerols,12,,Y,N,0,27054700
>>668.6187@14.18,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,23206900
>>668.6187@14.19,,,20181130_pos_SIR3,Diacylglycerols,4,,Y,N,0,24392000
>>668.6186@14.18,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,27862900
>>668.6187@14.18,,,20181130_pos_SIS2,Diacylglycerols,12,,Y,N,0,29441700
>>668.6186@14.18,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,11182700
>>668.6186@14.18,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,29551400
>>668.6187@14.20,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,26289200
>>668.6187@14.17,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,15097500
>>668.6187@14.20,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,25473900
>>668.6187@14.19,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,27857100
>>668.6186@14.18,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,20973900
>632.5248@14.80,,Approved,Super Sample,Diacylglycerols,12,,Y,N,1032761.7968799727,2075731.5
>>632.5252@14.81,,,20181130_pos_SIR1,Diacylglycerols,12,,N,N,0,1738290
>>632.5251@14.80,,,20181130_pos_SIR2,Diacylglycerols,12,,N,N,0,2361860
>>632.5236@14.81,,,20181130_pos_SIR3,Diacylglycerols,12,,N,N,0,2297890
>>632.5250@14.81,,,20181130_pos_SIS1,Diacylglycerols,12,,N,N,0,1355030
>>632.5252@14.80,,,20181130_pos_SIS2,Diacylglycerols,12,,N,N,0,661138
>>632.5251@14.81,,,20181130_pos_SIS3,Diacylglycerols,12,,N,N,0,1076680
>>632.5226@14.81,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,3744160
>>632.5252@14.81,,,20181130_pos_VIR2,Diacylglycerols,11,,N,N,0,1016580
>>632.5249@14.80,,,20181130_pos_VIR3,Diacylglycerols,12,,N,N,0,2004280
>>632.5249@14.79,,,20181130_pos_VIS1,Diacylglycerols,12,,N,N,0,2518380
>>632.5251@14.80,,,20181130_pos_VIS2,Diacylglycerols,12,,N,N,0,4284370
>>632.5251@14.81,,,20181130_pos_VIS3,Diacylglycerols,12,,N,N,0,1850120
>582.5096@15.19,,Approved,Super Sample,Diacylglycerols,12,,Y,N,13247876.760694103,10374673.333333334
>>582.5097@15.20,,,20181130_pos_SIR1,Diacylglycerols,12,,N,N,0,2632460
>>582.5096@15.19,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,3260640
>>582.5097@15.19,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,3588380
>>582.5095@15.20,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,4505240
>>582.5097@15.18,,,20181130_pos_SIS2,Diacylglycerols,12,,N,N,0,1782400
>>582.5097@15.20,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,3844850
>>582.5094@15.15,,,20181130_pos_VIR1,Diacylglycerols,12,,N,N,0,10250700
>>582.5097@15.19,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,4573890
>>582.5095@15.19,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,5344060
>>582.5097@15.25,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,32490700
>>582.5096@15.17,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,45543000
>>582.5095@15.19,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,6679760
>632.5249@15.24,,Approved,Super Sample,Diacylglycerols,12,,Y,N,974367.9601755523,2525730
>>632.5248@15.24,,,20181130_pos_SIR1,Diacylglycerols,12,,Y,N,0,1724090
>>632.5248@15.24,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,2667400
>>632.5249@15.22,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,1923630
>>632.5248@15.25,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,3049820
>>632.5250@15.24,,,20181130_pos_SIS2,Diacylglycerols,12,,Y,N,0,1164500
>>632.5250@15.24,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,2998050
>>632.5248@15.24,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,2456490
>>632.5249@15.26,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,1822970
>>632.5249@15.23,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,2459290
>>632.5248@15.26,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,2488660
>>632.5250@15.25,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,5257020
>>632.5249@15.25,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,2296840
>608.5250@15.47,,Approved,Super Sample,Diacylglycerols,12,,Y,N,10031026.19170101,14482495
>>608.5251@15.47,,,20181130_pos_SIR1,Diacylglycerols,8,,Y,N,0,7540510
>>608.5249@15.48,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,9255610
>>608.5250@15.47,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,9825930
>>608.5251@15.47,,,20181130_pos_SIS1,Diacylglycerols,11,,Y,N,0,9133470
>>608.5250@15.47,,,20181130_pos_SIS2,Diacylglycerols,12,,N,N,0,4131780
>>608.5251@15.46,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,6891530
>>608.5250@15.48,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,28634500
>>608.5251@15.48,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,9454310
>>608.5250@15.46,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,13556600
>>608.5250@15.48,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,23586200
>>608.5251@15.47,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,39068200
>>608.5251@15.47,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,12711300
>608.5251@15.57,,Approved,Super Sample,Diacylglycerols,12,,Y,N,17311208.59253037,32260541.666666668
>>608.5252@15.57,,,20181130_pos_SIR1,Diacylglycerols,12,,Y,N,0,18819200
>>608.5251@15.58,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,31352900
>>608.5251@15.57,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,26067800
>>608.5251@15.56,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,22630700
>>608.5251@15.57,,,20181130_pos_SIS2,Diacylglycerols,12,,Y,N,0,11615300
>>608.5251@15.57,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,20586700
>>608.5251@15.57,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,53675500
>>608.5251@15.58,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,24668100
>>608.5251@15.56,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,30289500
>>608.5252@15.58,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,39035900
>>608.5251@15.57,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,78615800
>>608.5250@15.57,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,29769100
>658.5405@15.63,,Approved,Super Sample,Diacylglycerols,12,,Y,N,1019113.2213337349,3540938.3333333335
>>658.5405@15.63,,,20181130_pos_SIR1,Diacylglycerols,12,,N,N,0,3098530
>>658.5405@15.64,,,20181130_pos_SIR2,Diacylglycerols,12,,Y,N,0,4960220
>>658.5405@15.63,,,20181130_pos_SIR3,Diacylglycerols,12,,Y,N,0,4150090
>>658.5405@15.64,,,20181130_pos_SIS1,Diacylglycerols,12,,Y,N,0,4388470
>>658.5405@15.63,,,20181130_pos_SIS2,Diacylglycerols,12,,N,N,0,1673390
>>658.5404@15.63,,,20181130_pos_SIS3,Diacylglycerols,12,,Y,N,0,4183640
>>658.5405@15.63,,,20181130_pos_VIR1,Diacylglycerols,12,,Y,N,0,4624490
>>658.5405@15.63,,,20181130_pos_VIR2,Diacylglycerols,12,,Y,N,0,2034530
>>658.5405@15.62,,,20181130_pos_VIR3,Diacylglycerols,12,,Y,N,0,2639910
>>658.5406@15.64,,,20181130_pos_VIS1,Diacylglycerols,12,,Y,N,0,3597870
>>658.5404@15.64,,,20181130_pos_VIS2,Diacylglycerols,12,,Y,N,0,4278120
>>658.5404@15.63,,,20181130_pos_VIS3,Diacylglycerols,12,,Y,N,0,2862000
