Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
640.5875@12.65,"3","77.90","100.00","99.61","58.37","1","DG(14:1(9Z)/22:0/0:0)","C39H74O5","Diacylglycerols","36:1","14:1(9Z)/22:0/0:0","622.5536","0.0","[M+NH4]+"
554.4784@13.57,"3","77.77","99.69","98.96","57.00","2","DG(12:0/18:2(9Z,12Z)/0:0)","C33H60O5","Diacylglycerols","30:2","12:0/18:2(9Z,12Z)/0:0","536.4441","0.9","[M+NH4]+"
580.4939@13.99,"3","77.88","99.87","99.74","58.07","1","DG(14:1(9Z)/18:2(9Z,12Z)/0:0)","C35H62O5","Diacylglycerols","32:3","14:1(9Z)/18:2(9Z,12Z)/0:0","562.4597","0.6","[M+NH4]+"
668.6187@14.18,"3","77.85","99.99","99.80","57.23","1","DG(16:1(9Z)/22:0/0:0)","C41H78O5","Diacylglycerols","38:1","16:1(9Z)/22:0/0:0","650.5849","0.2","[M+NH4]+"
632.5248@14.80,"3","77.94","99.98","99.29","59.49","2","DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)","C39H66O5","Diacylglycerols","36:5","18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0","614.4910","0.2","[M+NH4]+"
582.5096@15.19,"3","78.15","99.83","99.94","63.44","2","DG(16:1(9Z)/16:1(9Z)/0:0)","C35H64O5","Diacylglycerols","32:2","16:1(9Z)/16:1(9Z)/0:0","564.4754","0.7","[M+NH4]+"
632.5249@15.24,"3","77.33","100.00","89.67","56.98","2","DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C39H66O5","Diacylglycerols","36:5","16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0","614.4910","0.0","[M+NH4]+"
608.5250@15.47,"3","78.06","99.97","99.92","61.34","1","DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:1(9Z)/18:2(9Z,12Z)/0:0","590.4910","0.3","[M+NH4]+"
608.5251@15.57,"3","78.00","99.94","99.99","60.19","2","DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:1(9Z)/18:2(9Z,12Z)/0:0","590.4910","0.4","[M+NH4]+"
658.5405@15.63,"3","77.78","100.00","99.21","56.39","2","DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H68O5","Diacylglycerols","38:6","18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0","640.5067","0.1","[M+NH4]+"
