GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGL02010419,WCKCIZGPGIVEOH-LEWNPWSNSA-N,640.5875,12.65,[M+NH4]+,36:1,"DG(14:1(9Z)/22:0/0:0)","Diacylglycerols",,"GL"
2,LMGL02010337,STQYAPOZIUJNAD-IZQILMHSSA-N,554.4784,13.57,[M+NH4]+,30:2,"DG(12:0/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
3,LMGL02010409,CJKXGRSGRKUWTH-LBWIYNPJSA-N,580.4939,13.99,[M+NH4]+,32:3,"DG(14:1(9Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
4,LMGL02010105,BZRVDTDUKMXTCU-QZEPCWIRSA-N,668.6187,14.18,[M+NH4]+,38:1,"DG(16:1(9Z)/22:0/0:0)","Diacylglycerols",,"GL"
5,LMGL02010071,PGXBELQFNRPKBC-WBVIKXMWSA-N,632.5248,14.80,[M+NH4]+,36:5,"DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
5,LMGL02010481,NEYUIEVYOYUWGW-AGNGCCSQSA-N,632.5248,14.80,[M+NH4]+,36:5,"DG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
6,LMGL02010011,HSQHRRHRYJNSOC-DWCRPSDDSA-N,582.5096,15.19,[M+NH4]+,32:2,"DG(16:1(9Z)/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
7,LMGL02010077,IVRNQYIPGILFPZ-SEKRGLSRSA-N,632.5249,15.24,[M+NH4]+,36:5,"DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","Diacylglycerols",,"GL"
8,LMGL02010031,BHGPPCIWDXQOMA-IXDOJJAKSA-N,608.5250,15.47,[M+NH4]+,34:3,"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
9,LMGL02010031,BHGPPCIWDXQOMA-IXDOJJAKSA-N,608.5251,15.57,[M+NH4]+,34:3,"DG(16:1(9Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
