Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>556.4925@6.63,,Approved,Super Sample,Diacylglycerols,12,,Y,N,409038.6202377133,857645.8333333334
>>556.4927@6.65,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,552179
>>556.4926@6.62,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,614709
>>556.4925@6.63,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,330802
>>556.4923@6.61,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,609710
>>556.4923@6.64,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,806886
>>556.4923@6.63,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,625670
>>556.4929@6.63,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1430160
>>556.4925@6.64,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1194100
>>556.4924@6.63,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,438719
>>556.4926@6.62,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerols,9,,Y,N,0,965144
>>556.4925@6.62,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1764050
>>556.4926@6.63,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,959621
>556.4925@6.65,,Approved,Super Sample,Diacylglycerols,12,,Y,N,449687.3925879881,879141.5
>>556.4927@6.65,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,544801
>>556.4926@6.63,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,609497
>>556.4923@6.68,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,258205
>>556.4923@6.64,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,612476
>>556.4924@6.63,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,765771
>>556.4923@6.61,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,613414
>>556.4928@6.64,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1430850
>>556.4923@6.68,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1523230
>>556.4924@6.64,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,439473
>>556.4925@6.63,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,954061
>>556.4925@6.63,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1747830
>>556.4926@6.70,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerols,6,,Y,N,0,1050090
>587.4635@6.78,,Approved,Super Sample,Diacylglycerols,12,,Y,N,691880.9225213942,794817.3333333334
>>587.4639@6.75,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,271476
>>587.4636@6.80,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,368291
>>587.4634@6.81,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,518405
>>587.4634@6.81,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,473357
>>587.4635@6.76,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,329041
>>587.4634@6.81,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,490597
>>587.4638@6.81,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1799280
>>587.4633@6.76,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1203190
>>587.4624@6.76,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,319583
>>587.4636@6.73,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,576780
>>587.4635@6.75,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,2612030
>>587.4637@6.77,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,575778
>582.5082@6.83,,Approved,Super Sample,Diacylglycerols,12,,Y,N,1082031.3737662185,1555544.0833333333
>>582.5087@6.83,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,883398
>>582.5088@6.85,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,774178
>>582.5081@6.85,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,1044260
>>582.5077@6.84,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,975295
>>582.5084@6.85,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,821927
>>582.5086@6.84,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,611259
>>582.5082@6.84,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,3099920
>>582.5076@6.84,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,2897270
>>582.5083@6.84,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,947029
>>582.5086@6.84,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,837123
>>582.5077@6.78,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,3969010
>>582.5079@6.82,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,1805860
>558.5085@7.49,,Approved,Super Sample,Diacylglycerols,12,,Y,N,248714.9859083882,727352.5833333334
>>558.5085@7.49,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,528149
>>558.5078@7.51,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,565452
>>558.5084@7.49,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,620457
>>558.5084@7.50,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,605745
>>558.5084@7.48,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,673816
>>558.5084@7.50,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,470171
>>558.5089@7.49,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1222520
>>558.5085@7.50,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1105830
>>558.5086@7.50,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,433436
>>558.5086@7.49,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,672737
>>558.5085@7.49,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,1043400
>>558.5088@7.49,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,786518
>658.5393@7.52,,Approved,Super Sample,Diacylglycerols,12,,Y,N,73985.95971435503,239541.75
>>658.5396@7.52,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,183108
>>658.5394@7.52,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,246387
>>658.5390@7.51,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,189893
>>658.5390@7.51,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,197732
>>658.5393@7.51,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,250473
>>658.5389@7.51,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerols,12,,N,N,0,172787
>>658.5398@7.53,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,355450
>>658.5394@7.52,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerols,12,,Y,N,0,382836
