Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
556.4925@6.63,"3","73.59","98.63","0.00","74.55","4","DG(14:0/16:1(9Z)/0:0)","C33H62O5","Diacylglycerols","30:1","14:0/16:1","538.4597","1.9","[M+NH4]+"
556.4925@6.65,"3","77.36","98.52","75.48","74.67","4","DG(14:0/16:1(9Z)/0:0)","C33H62O5","Diacylglycerols","30:1","14:0/16:1","538.4597","2.0","[M+NH4]+"
587.4635@6.78,"3","76.28","86.07","99.07","54.30","1","DG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/0:0)","C37H62O5","Diacylglycerols","34:5","18:4/16:1","586.4597","6.0","[M+H]+"
582.5082@6.83,"3","78.76","98.78","94.01","83.53","6","DG(14:0/18:2(9Z,12Z)/0:0)","C35H64O5","Diacylglycerols","32:2","14:0/18:2","564.4754","1.7","[M+NH4]+"
558.5085@7.49,"3","79.07","99.33","99.70","83.09","4","DG(14:0/16:0/0:0)","C33H64O5","Diacylglycerols","30:0","14:0/16:0","540.4754","1.3","[M+NH4]+"
658.5393@7.52,"3","77.94","98.22","99.68","62.58","2","DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C41H68O5","Diacylglycerols","38:6","16:0/22:6","640.5067","1.9","[M+NH4]+"
584.5241@7.63,"3","78.80","99.33","99.41","77.99","5","DG(14:0/18:1(9Z)/0:0)","C35H66O5","Diacylglycerols","32:1","14:0/18:1","566.4910","1.3","[M+NH4]+"
589.4795@7.63,"3","76.43","88.99","98.82","51.86","1","DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C37H64O5","Diacylglycerols","34:4","16:1/18:3","588.4754","5.3","[M+H]+"
610.5399@7.73,"3","79.48","99.48","99.94","90.61","6","DG(16:1(9Z)/18:1(9Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:1/18:1","592.5067","1.1","[M+NH4]+"
593.5141@7.74,"3","78.51","99.98","95.43","74.72","4","DG(16:1(9Z)/18:1(9Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:1/18:1","592.5067","0.2","[M+H]+"
660.5552@7.85,"3","78.02","98.83","99.64","63.00","2","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","1.5","[M+NH4]+"
610.5399@7.91,"3","79.40","99.54","99.56","89.31","6","DG(16:0/18:2(9Z,12Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:0/18:2","592.5067","1.0","[M+NH4]+"
593.5137@7.92,"3","78.76","99.93","91.57","83.84","3","DG(16:0/18:2(9Z,12Z)/0:0)","C37H68O5","Diacylglycerols","34:2","16:0/18:2","592.5067","0.4","[M+H]+"
641.5105@8.01,"3","76.37","87.46","99.97","52.46","1","DG(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C41H68O5","Diacylglycerols","38:6","18:1/20:5","640.5067","5.3","[M+H]+"
636.5554@8.01,"3","79.22","99.25","99.68","86.14","6","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","C39H70O5","Diacylglycerols","36:3","18:1/18:2","618.5223","1.3","[M+NH4]+"
636.5554@8.19,"3","78.51","99.25","89.55","82.15","4","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","C39H70O5","Diacylglycerols","36:3","18:1/18:2","618.5223","1.3","[M+NH4]+"
598.5399@8.19,"3","78.67","99.56","99.99","74.28","4","DG(15:0/18:1(9Z)/0:0)","C36H68O5","Diacylglycerols","33:1","15:0/18:1","580.5067","1.0","[M+NH4]+"
586.5399@8.70,"3","78.77","99.52","96.21","80.24","5","DG(16:0/16:0/0:0)","C35H68O5","Diacylglycerols","32:0","16:0/16:0","568.5067","1.1","[M+NH4]+"
591.4953@8.71,"3","76.74","89.66","99.95","55.58","3","DG(16:0/18:3(9Z,12Z,15Z)/0:0)","C37H66O5","Diacylglycerols","34:3","16:0/18:3","590.4910","5.1","[M+H]+"
617.5107@8.82,"3","76.47","88.50","99.68","52.81","1","DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","C39H68O5","Diacylglycerols","36:4","18:1/18:3","616.5067","5.2","[M+H]+"
612.5554@8.82,"3","79.20","99.34","93.72","91.51","6","DG(16:0/18:1(11Z)/0:0)","C37H70O5","Diacylglycerols","34:1","16:0/18:1","594.5223","1.2","[M+NH4]+"
595.5288@8.83,"3","78.90","99.25","98.93","80.56","4","DG(16:0/18:1(11Z)/0:0)","C37H70O5","Diacylglycerols","34:1","16:0/18:1","594.5223","1.3","[M+H]+"
643.5261@8.94,"3","76.56","87.19","99.45","57.42","2","DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","C41H70O5","Diacylglycerols","38:5","18:1/20:4","642.5223","5.4","[M+H]+"
638.5708@8.94,"3","79.31","98.68","99.64","89.18","6","DG(18:1(9Z)/18:1(9Z)/0:0)","C39H72O5","Diacylglycerols","36:2","18:1/18:1","620.5380","1.7","[M+NH4]+"
621.5443@8.95,"3","78.59","98.95","97.45","76.38","4","DG(18:1(9Z)/18:1(9Z)/0:0)","C39H72O5","Diacylglycerols","36:2","18:1/18:1","620.5380","1.5","[M+H]+"
