GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGL02010379,SSKSBJYFDDMVGX-QDPLMGLHSA-N,556.4925,6.63,[M+NH4]+,30:1,"DG(14:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
2,LMGL02010379,SSKSBJYFDDMVGX-QDPLMGLHSA-N,556.4925,6.65,[M+NH4]+,30:1,"DG(14:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
3,LMGL02010499,VGOGKJZBRRLKDX-IXMHFBOMSA-N,587.4635,6.78,[M+H]+,34:5,"DG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
4,LMGL02010385,WVBVUWWRPSWGDS-JWVBYZEHSA-N,582.5082,6.83,[M+NH4]+,32:2,"DG(14:0/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
4,LMGL02010011,HSQHRRHRYJNSOC-DWCRPSDDSA-N,582.5082,6.83,[M+NH4]+,32:2,"DG(16:1(9Z)/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
5,LMGL02010378,NYNQTTOUQMCOEM-HKBQPEDESA-N,558.5085,7.49,[M+NH4]+,30:0,"DG(14:0/16:0/0:0)","Diacylglycerols",,"GL"
6,LMGL02010162,BXVYQJJBMVVALQ-VVSMSMGFSA-N,658.5393,7.52,[M+NH4]+,38:6,"DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Diacylglycerols",,"GL"
7,LMGL02010384,XEQQGHISHUGMIP-ASUORMEESA-N,584.5241,7.63,[M+NH4]+,32:1,"DG(14:0/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
7,LMGL02010010,ADLOEVQMJKYKSR-YAIMUBSCSA-N,584.5241,7.63,[M+NH4]+,32:1,"DG(16:0/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
8,LMGL02010035,UUPFPLJLQPYEKS-BTMLKTQRSA-N,589.4795,7.63,[M+H]+,34:4,"DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
8,LMGL02010475,NMSWJOWPISSOTH-CCABUEPZSA-N,589.4795,7.63,[M+H]+,34:4,"DG(18:3(6Z,9Z,12Z)/16:1(9Z)/0:0)","Diacylglycerols",,"GL"
9,LMGL02010026,FWWLDEIJAPIBES-DATDAJMQSA-N,610.5399,7.73,[M+NH4]+,34:2,"DG(16:1(9Z)/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
10,LMGL02010026,FWWLDEIJAPIBES-DATDAJMQSA-N,593.5141,7.74,[M+H]+,34:2,"DG(16:1(9Z)/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
11,LMGL02010121,LWXLWRXRJKMNLM-GOZUYJTOSA-N,660.5552,7.85,[M+NH4]+,38:5,"DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","Diacylglycerols",,"GL"
12,LMGL02010027,SVXWJFFKLMLOHO-YAIZGCQRSA-N,610.5399,7.91,[M+NH4]+,34:2,"DG(16:0/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
13,LMGL02010027,SVXWJFFKLMLOHO-YAIZGCQRSA-N,593.5137,7.92,[M+H]+,34:2,"DG(16:0/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
14,LMGL02010132,JLJZWBKQVKCOJP-GZAZVFSZSA-N,641.5105,8.01,[M+H]+,38:6,"DG(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","Diacylglycerols",,"GL"
15,LMGL02010056,BLZVZPYMHLXLHG-JOBMVARSSA-N,636.5554,8.01,[M+NH4]+,36:3,"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
16,LMGL02010056,BLZVZPYMHLXLHG-JOBMVARSSA-N,636.5554,8.19,[M+NH4]+,36:3,"DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","Diacylglycerols",,"GL"
17,LMGL02010432,GWAPRYUVSHVZHN-PDGPHRJUSA-N,598.5399,8.19,[M+NH4]+,33:1,"DG(15:0/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
18,LMGL02010001,JEJLGIQLPYYGEE-UHFFFAOYSA-N,586.5399,8.70,[M+NH4]+,32:0,"DG(16:0/16:0/0:0)","Diacylglycerols",,"GL"
18,LMGL02010009,JEJLGIQLPYYGEE-XIFFEERXSA-N,586.5399,8.70,[M+NH4]+,32:0,"DG(16:0/16:0/0:0)","Diacylglycerols",,"GL"
19,LMGL02010032,UHPKYXAUVQOHQL-DSZXWZEOSA-N,591.4953,8.71,[M+H]+,34:3,"DG(16:0/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
19,LMGL02010474,NFVDEXJHCNKRNB-XEQVECQLSA-N,591.4953,8.71,[M+H]+,34:3,"DG(18:3(6Z,9Z,12Z)/16:0/0:0)","Diacylglycerols",,"GL"
20,LMGL02010064,YAKOEWASAGCYLB-VGCWMEDESA-N,617.5107,8.82,[M+H]+,36:4,"DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)","Diacylglycerols",,"GL"
20,LMGL02010480,BMMVKOKTTXXULX-ZMIOHZPPSA-N,617.5107,8.82,[M+H]+,36:4,"DG(18:3(6Z,9Z,12Z)/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
21,LMGL02010307,IIEPDWHEGOSXLD-NMYQGLQJSA-N,612.5554,8.82,[M+NH4]+,34:1,"DG(16:0/18:1(11Z)/0:0)","Diacylglycerols",,"GL"
21,LMGL02010006,YEJYLHKQOBOSCP-OZKTZCCCSA-N,612.5554,8.82,[M+NH4]+,34:1,"DG(16:0/18:1(9Z)/0:0)","Diacylglycerols",,"GL"
21,LMGL02010004,GSEVZLBSIOIEFK-AAOCECEDSA-N,612.5554,8.82,[M+NH4]+,34:1,"DG(18:1(11E)/16:0/0:0)","Diacylglycerols",,"GL"
21,LMGL02010005,DOZKMFVMCATMEH-OZKTZCCCSA-N,612.5554,8.82,[M+NH4]+,34:1,"DG(18:1(9Z)/16:0/0:0)","Diacylglycerols",,"GL"
22,LMGL02010307,IIEPDWHEGOSXLD-NMYQGLQJSA-N,595.5288,8.83,[M+H]+,34:1,"DG(16:0/18:1(11Z)/0:0)","Diacylglycerols",,"GL"
