Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>727.4771@0.94,,Approved,Super Sample,Cholesterol and derivatives,7,,Y,N,252420.44515507697,200108.63333333333
>>727.4743@0.94,,,"QE_18_45_0,05p_SIR1_20181110072802",Cholesterol and derivatives,12,,Y,N,0,686614
>>727.4844@0.94,,,"QE_18_45_0,05p_SIR2_20181110080303",Cholesterol and derivatives,12,,Y,N,0,395468
>>727.4742@0.94,,,"QE_18_45_0,05p_SIR3_20181110083804",Cholesterol and derivatives,12,,N,N,0,228763
>>727.4741@0.93,,,"QE_18_45_0,05p_SIS1_20181110050800",Cholesterol and derivatives,12,,Y,N,0,386267
>>727.4815@0.90,,,"QE_18_45_0,05p_SIS2_20181110054301",Cholesterol and derivatives,5,,N,N,0,39371
>>727.4755@0.95,,,"QE_18_45_0,05p_SIS3_20181110061802",Cholesterol and derivatives,12,,Y,N,0,643218
>>727.4754@0.98,,,"QE_18_45_0,05p_VIR2_20181110131811",Cholesterol and derivatives,12,,N,N,0,21603
>393.3091@3.50,,Approved,Super Sample,Cholesterol and derivatives,12,,Y,N,685390.779695038,2342574.1666666665
>>393.3087@3.51,,,"QE_18_45_0,05p_SIR1_20181110072802",Cholesterol and derivatives,5,,Y,N,0,1780620
>>393.3129@3.50,,,"QE_18_45_0,05p_SIR2_20181110080303",Cholesterol and derivatives,12,,Y,N,0,2447270
>>393.3087@3.51,,,"QE_18_45_0,05p_SIR3_20181110083804",Cholesterol and derivatives,4,,Y,N,0,2532660
>>393.3049@3.49,,,"QE_18_45_0,05p_SIS1_20181110050800",Cholesterol and derivatives,12,,Y,N,0,2991970
>>393.3086@3.48,,,"QE_18_45_0,05p_SIS2_20181110054301",Cholesterol and derivatives,4,,Y,N,0,1413820
>>393.3094@3.51,,,"QE_18_45_0,05p_SIS3_20181110061802",Cholesterol and derivatives,11,,Y,N,0,1756390
>>393.3128@3.51,,,"QE_18_45_0,05p_VIR1_20181110124308",Cholesterol and derivatives,3,,Y,N,0,3563980
>>393.3091@3.50,,,"QE_18_45_0,05p_VIR2_20181110131811",Cholesterol and derivatives,12,,Y,N,0,2909020
>>393.3089@3.50,,,"QE_18_45_0,05p_VIR3_20181110135312",Cholesterol and derivatives,1,,Y,N,0,1777630
>>393.3068@3.50,,,"QE_18_45_0,05p_VIS1_20181110094805",Cholesterol and derivatives,6,,N,N,0,3050430
>>393.3093@3.50,,,"QE_18_45_0,05p_VIS2_20181110102309",Cholesterol and derivatives,6,,Y,N,0,2533030
>>393.3090@3.50,,,"QE_18_45_0,05p_VIS3_20181110105810",Cholesterol and derivatives,12,,Y,N,0,1354070
>507.2721@3.52,,Approved,Super Sample,Stigmasterols and C24-ethyl derivatives,7,,Y,N,322194.6530632658,119065.2625
>>507.2700@3.54,,,"QE_18_45_0,05p_SIR2_20181110080303",Stigmasterols and C24-ethyl derivatives,10,,N,N,0,8210
>>507.2737@3.39,,,"QE_18_45_0,05p_SIR3_20181110083804",Stigmasterols and C24-ethyl derivatives,12,,N,N,0,56560
>>507.2718@3.63,,,"QE_18_45_0,05p_SIS1_20181110050800",Stigmasterols and C24-ethyl derivatives,1,,N,N,0,71036
>>507.2749@3.37,,,"QE_18_45_0,05p_SIS2_20181110054301",Stigmasterols and C24-ethyl derivatives,5,,N,N,0,62368
>>507.2705@3.63,,,"QE_18_45_0,05p_VIS1_20181110094805",Stigmasterols and C24-ethyl derivatives,3,,Y,N,0,1184140
>>507.2686@3.67,,,"QE_18_45_0,05p_VIS2_20181110102309",Stigmasterols and C24-ethyl derivatives,4,,N,N,0,9789
>>507.2749@3.39,,,"QE_18_45_0,05p_VIS3_20181110105810",Stigmasterols and C24-ethyl derivatives,12,,N,N,0,36681
>417.3369@4.03,,Approved,Super Sample,Cholesterol and derivatives,12,,Y,N,185246.32616350692,816287.5833333334
>>417.3361@4.04,,,"QE_18_45_0,05p_SIR1_20181110072802",Cholesterol and derivatives,11,,Y,N,0,755667
>>417.3417@4.03,,,"QE_18_45_0,05p_SIR2_20181110080303",Cholesterol and derivatives,10,,Y,N,0,885237
>>417.3360@4.03,,,"QE_18_45_0,05p_SIR3_20181110083804",Cholesterol and derivatives,12,,Y,N,0,852792
>>417.3357@4.03,,,"QE_18_45_0,05p_SIS1_20181110050800",Cholesterol and derivatives,4,,N,N,0,757553
>>417.3363@4.03,,,"QE_18_45_0,05p_SIS2_20181110054301",Cholesterol and derivatives,12,,N,N,0,865507
>>417.3368@4.03,,,"QE_18_45_0,05p_SIS3_20181110061802",Cholesterol and derivatives,4,,Y,N,0,722078
>>417.3410@4.04,,,"QE_18_45_0,05p_VIR1_20181110124308",Cholesterol and derivatives,5,,Y,N,0,801115
>>417.3366@4.03,,,"QE_18_45_0,05p_VIR2_20181110131811",Cholesterol and derivatives,12,,N,N,0,625122
>>417.3368@4.03,,,"QE_18_45_0,05p_VIR3_20181110135312",Cholesterol and derivatives,12,,N,N,0,721235
>>417.3330@4.03,,,"QE_18_45_0,05p_VIS1_20181110094805",Cholesterol and derivatives,11,,Y,N,0,1363080
>>417.3368@4.04,,,"QE_18_45_0,05p_VIS2_20181110102309",Cholesterol and derivatives,8,,Y,N,0,611004
>>417.3365@4.04,,,"QE_18_45_0,05p_VIS3_20181110105810",Cholesterol and derivatives,3,,Y,N,0,835061
>654.4490@4.40,,Approved,Super Sample,Cholesterol and derivatives,12,,Y,N,122825.87003840793,74868.62499999999
>>654.4476@4.42,,,"QE_18_45_0,05p_SIR1_20181110072802",Cholesterol and derivatives,5,,N,N,0,26148
>>654.4460@4.28,,,"QE_18_45_0,05p_SIR2_20181110080303",Cholesterol and derivatives,12,,N,N,0,63327
>>654.4523@4.48,,,"QE_18_45_0,05p_SIR3_20181110083804",Cholesterol and derivatives,10,,N,N,0,16701
>>654.4522@4.49,,,"QE_18_45_0,05p_SIS1_20181110050800",Cholesterol and derivatives,8,,N,N,0,27935
>>654.4551@4.31,,,"QE_18_45_0,05p_SIS2_20181110054301",Cholesterol and derivatives,11,,N,N,0,54998
>>654.4480@4.37,,,"QE_18_45_0,05p_SIS3_20181110061802",Cholesterol and derivatives,2,,N,N,0,20553
>>654.4491@4.46,,,"QE_18_45_0,05p_VIR1_20181110124308",Cholesterol and derivatives,5,,N,N,0,53528
