Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
727.4771@0.94,"3","76.53","90.23","92.08","58.00","1","Fasciculic acid C","C38H63NO11","Cholesterol and derivatives","","-","709.4401","4.2","[M+NH4]+"
393.3091@3.50,"3","75.19","82.66","83.75","54.81","1","19-norcholestenone","C26H42O","Cholesterol and derivatives","","-","370.3236","9.4","[M+Na]+"
507.2721@3.52,"3","69.73","68.72","0.00","57.24","1","geodisterol-O-sulfite","C28H42O6S","Stigmasterols and C24-ethyl derivatives","","-","506.2702","10.7","[M+H]+"
417.3369@4.03,"3","77.65","99.48","99.99","54.05","1","2,22,25-trideoxyecdysone","C27H44O3","Cholesterol and derivatives","","-","416.3290","1.5","[M+H]+"
,"3","77.65","99.48","99.99","54.05","1","20S-Hydroxycholestane-3,16-dione","C27H44O3","Cholesterol and derivatives","","-","416.3290","1.5","[M+H]+"
,"3","77.65","99.48","99.99","54.05","1","3beta,6alpha-dihydroxy-5alpha-cholesta-9(11)-en-23-one","C27H44O3","Cholesterol and derivatives","","-","416.3290","1.5","[M+H]+"
654.4490@4.40,"3","70.53","43.01","69.71","54.77","1","Fasciculic acid B","C36H60O9","Cholesterol and derivatives","","-","636.4237","13.2","[M+NH4]+"
495.3073@5.17,"3","75.37","88.02","74.83","56.55","1","Norselic acid E","C31H42O5","Stigmasterols and C24-ethyl derivatives","","-","494.3032","6.4","[M+H]+"
437.3146@5.53,"3","68.50","14.25","88.19","53.34","1","20S-Hydroxycholest-1-en-3,16-dione","C27H42O3","Cholesterol and derivatives","","-","414.3134","27.5","[M+Na]+"
,"3","68.50","14.25","88.19","53.34","1","20S-Hydroxycholest-4-en-3,16-dione","C27H42O3","Cholesterol and derivatives","","-","414.3134","27.5","[M+Na]+"
,"3","68.50","14.25","88.19","53.34","1","3beta,5alpha-dihydroxycholesta-7,9(11)-dien-6-one","C27H42O3","Cholesterol and derivatives","","-","414.3134","27.5","[M+Na]+"
421.3407@5.53,"3","75.84","85.53","90.85","54.93","1","22-methylenecholesterol","C28H46O","Cholesterol and derivatives","","-","398.3549","8.0","[M+Na]+"
,"3","75.84","85.53","90.85","54.93","1","4alpha-methyl-5alpha-cholest-7-en-3-one","C28H46O","Cholesterol and derivatives","","-","398.3549","8.0","[M+Na]+"
,"3","75.84","85.53","90.85","54.93","1","4alpha-methyl-5alpha-cholesta-8-en-3-one","C28H46O","Cholesterol and derivatives","","-","398.3549","8.0","[M+Na]+"
495.3055@5.87,"3","74.78","72.43","93.38","57.27","1","Norselic acid E","C31H42O5","Stigmasterols and C24-ethyl derivatives","","-","494.3032","10.1","[M+H]+"
421.3529@6.03,"3","70.95","34.56","96.28","53.66","1","22-methylenecholesterol","C28H46O","Cholesterol and derivatives","","-","398.3549","20.9","[M+Na]+"
,"3","70.95","34.56","96.28","53.66","1","4alpha-methyl-5alpha-cholest-7-en-3-one","C28H46O","Cholesterol and derivatives","","-","398.3549","20.9","[M+Na]+"
,"3","70.95","34.56","96.28","53.66","1","4alpha-methyl-5alpha-cholesta-8-en-3-one","C28H46O","Cholesterol and derivatives","","-","398.3549","20.9","[M+Na]+"
465.3441@7.78,"3","69.71","25.35","90.57","52.87","1","3beta-acetoxy-cholest-5-en-7-one","C29H46O3","Cholesterol and derivatives","","-","442.3447","21.9","[M+Na]+"
,"3","69.71","25.35","90.57","52.87","1","4alpha-carboxy-4beta-methyl-zymosterol","C29H46O3","Cholesterol and derivatives","","-","442.3447","21.9","[M+Na]+"
,"3","69.71","25.35","90.57","52.87","1","4beta-methyl-zymosterol-4alpha-carboxylic acid","C29H46O3","Cholesterol and derivatives","","-","442.3447","21.9","[M+Na]+"
449.3723@7.79,"3","75.98","88.21","82.62","60.53","2","4,4,14alpha-trimethyl-5alpha-cholest-9(11),24-dien-3beta-ol","C30H50O","Cholesterol and derivatives","","-","426.3862","6.8","[M+Na]+"
,"3","75.98","88.21","82.62","60.53","2","Lanost-9(11)-3beta-ol","C30H50O","Cholesterol and derivatives","","-","426.3862","6.8","[M+Na]+"
,"3","75.98","88.21","82.62","60.53","2","Lanosta-7,9(11)-dien-3eta-ol","C30H50O","Cholesterol and derivatives","","-","426.3862","6.8","[M+Na]+"
457.3313@8.39,"3","78.24","100.00","98.23","66.64","2","Norselic acid B","C29H44O4","Stigmasterols and C24-ethyl derivatives","","-","456.3240","0.1","[M+H]+"
,"3","78.24","100.00","98.23","66.64","2","Norselic acid D","C29H44O4","Stigmasterols and C24-ethyl derivatives","","-","456.3240","0.1","[M+H]+"
474.3587@8.39,"3","78.08","99.09","99.87","63.50","1","Norselic acid B","C29H44O4","Stigmasterols and C24-ethyl derivatives","","-","456.3240","1.8","[M+NH4]+"
,"3","78.08","99.09","99.87","63.50","1","Norselic acid D","C29H44O4","Stigmasterols and C24-ethyl derivatives","","-","456.3240","1.8","[M+NH4]+"
447.3830@9.82,"3","72.67","99.93","0.00","53.59","1","24-ethyl-5alpha-cholest-25-en-3alpha,12alpha,16alpha-triol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","0.5","[M+H]+"
,"3","72.67","99.93","0.00","53.59","1","24-hydroperoxy-24-vinylcholesterol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","0.5","[M+H]+"
461.3630@10.23,"3","72.88","99.65","0.00","58.30","2","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","1.1","[M+H]+"
401.3420@10.30,"3","77.89","99.51","100.00","58.70","3","(22,23-dinor)-24-vinyl-cholest-5-en-3beta,24-diol","C27H44O2","Cholesterol and derivatives","","-","400.3341","1.5","[M+H]+"
,"3","77.89","99.51","100.00","58.70","3","(24E),26-hydroxydesmosterol","C27H44O2","Cholesterol and derivatives","","-","400.3341","1.5","[M+H]+"
,"3","77.89","99.51","100.00","58.70","3","(24Z),26-hydroxydesmosterol","C27H44O2","Cholesterol and derivatives","","-","400.3341","1.5","[M+H]+"
461.3634@10.65,"3","77.91","99.06","99.00","61.00","3","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","1.8","[M+H]+"
461.3639@11.07,"3","75.44","97.66","55.38","58.10","1","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","2.9","[M+H]+"
461.3632@11.34,"3","78.04","99.35","99.88","62.24","3","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","1.5","[M+H]+"
