Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>512.3000@3.90,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,78147.2585306789,81694.19166666667
>>512.3001@3.92,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphocholines,5,,N,N,0,55377
>>512.3001@3.90,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphocholines,1,,N,N,0,39254
>>512.3001@3.90,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphocholines,5,,N,N,0,37905
>>512.3000@3.90,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphocholines,4,,N,N,0,71931
>>512.3000@3.91,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphocholines,2,,N,N,0,51984
>>512.3000@3.90,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphocholines,9,,N,N,0,45373
>>512.2999@3.90,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphocholines,12,,Y,N,0,227549
>>512.3000@3.91,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphocholines,10,,N,N,0,19607
>>512.2999@3.87,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphocholines,9,,N,N,0,28847
>>512.3001@3.90,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphocholines,5,,Y,N,0,73503
>>512.2999@3.90,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphocholines,6,,Y,N,0,276020
>>512.3001@3.92,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphocholines,1,,N,N,0,52981
>538.3158@4.31,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,370130.37050105736,410444.5
>>538.3159@4.31,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphocholines,5,,Y,N,0,189586
>>538.3160@4.33,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphocholines,2,,Y,N,0,171662
>>538.3159@4.32,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphocholines,5,,Y,N,0,160652
>>538.3157@4.32,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphocholines,2,,Y,N,0,290850
>>538.3158@4.31,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphocholines,12,,Y,N,0,226053
>>538.3159@4.31,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphocholines,12,,Y,N,0,222237
>>538.3157@4.31,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphocholines,12,,Y,N,0,1050270
>>538.3157@4.33,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphocholines,2,,Y,N,0,195916
>>538.3158@4.32,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphocholines,6,,Y,N,0,204324
>>538.3150@4.31,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphocholines,12,,Y,N,0,575854
>>538.3157@4.31,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphocholines,5,,Y,N,0,1335210
>>538.3159@4.30,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphocholines,2,,Y,N,0,302720
>450.2632@4.40,,Approved,Super Sample,Monoacylglycerophosphoethanolamines,12,,Y,N,107514.49102365322,100208.575
>>450.2634@4.39,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphoethanolamines,5,,N,N,0,29934
>>450.2634@4.41,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphoethanolamines,2,,N,N,0,29998
>>450.2632@4.39,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphoethanolamines,2,,N,N,0,31998
>>450.2633@4.41,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphoethanolamines,5,,N,N,0,71549
>>450.2632@4.40,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphoethanolamines,5,,N,N,0,24985
>>450.2633@4.41,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphoethanolamines,9,,N,N,0,33786
>>450.2632@4.40,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphoethanolamines,12,,N,N,0,189940
>>450.2631@4.41,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphoethanolamines,4,,N,N,0,40897
>>450.2632@4.40,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphoethanolamines,4,,N,N,0,54721
>>450.2627@4.40,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphoethanolamines,5,,Y,N,0,156090
>>450.2632@4.40,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphoethanolamines,12,,Y,N,0,409575
>>450.2633@4.40,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphoethanolamines,4,,N,N,0,129030
>588.3315@4.45,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,54180.33061509346,157270.15
>>588.3318@4.45,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphocholines,2,,N,N,0,171080
>>588.3317@4.45,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphocholines,2,,N,N,0,157596
>>588.3317@4.46,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphocholines,2,,N,N,0,115969
>>588.3315@4.45,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphocholines,12,,Y,N,0,258431
>>588.3315@4.43,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphocholines,4,,N,N,0,141760
>>588.3318@4.43,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphocholines,4,,N,N,0,156644
>>588.3315@4.43,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphocholines,12,,Y,N,0,240968
>>588.3315@4.46,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphocholines,12,,N,N,0,108161
>>588.3316@4.45,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphocholines,2,,N,N,0,81516
>>588.3305@4.45,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphocholines,1,,Y,N,0,216143
>>588.3315@4.44,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphocholines,12,,N,N,0,145737
>>588.3317@4.44,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphocholines,12,,N,N,0,93237
>564.3314@4.52,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,109742.53122609176,254439.91666666666
>>564.3317@4.52,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphocholines,12,,Y,N,0,216383
>>564.3316@4.52,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphocholines,12,,Y,N,0,194193
>>564.3316@4.52,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphocholines,12,,Y,N,0,154481
>>564.3314@4.51,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphocholines,12,,Y,N,0,268571
>>564.3314@4.52,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphocholines,12,,Y,N,0,186951
>>564.3316@4.52,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphocholines,5,,Y,N,0,187327
>>564.3313@4.52,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphocholines,1,,Y,N,0,532752
>>564.3313@4.52,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphocholines,12,,Y,N,0,191706
>>564.3314@4.52,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphocholines,6,,Y,N,0,154368
>>564.3310@4.51,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphocholines,2,,N,N,0,393768
>>564.3314@4.53,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphocholines,1,,Y,N,0,346934
>>564.3316@4.53,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphocholines,2,,Y,N,0,225845
>500.2789@4.56,,Approved,Super Sample,Monoacylglycerophosphoethanolamines,12,,Y,N,197897.7501350129,571283
>>500.2793@4.56,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphoethanolamines,12,,Y,N,0,557947
>>500.2792@4.57,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphoethanolamines,12,,Y,N,0,560450
>>500.2792@4.56,,,"QE_18_45_0,05p_SIR3",Monoacylglycerophosphoethanolamines,12,,Y,N,0,439511
>>500.2783@4.57,,,"QE_18_45_0,05p_SIS1",Monoacylglycerophosphoethanolamines,12,,Y,N,0,635341
>>500.2791@4.56,,,"QE_18_45_0,05p_SIS2",Monoacylglycerophosphoethanolamines,12,,Y,N,0,322680
>>500.2791@4.57,,,"QE_18_45_0,05p_SIS3",Monoacylglycerophosphoethanolamines,7,,Y,N,0,347280
>>500.2782@4.56,,,"QE_18_45_0,05p_VIR1",Monoacylglycerophosphoethanolamines,1,,Y,N,0,851823
>>500.2790@4.57,,,"QE_18_45_0,05p_VIR2",Monoacylglycerophosphoethanolamines,12,,Y,N,0,510757
>>500.2791@4.56,,,"QE_18_45_0,05p_VIR3",Monoacylglycerophosphoethanolamines,3,,Y,N,0,519267
>>500.2775@4.57,,,"QE_18_45_0,05p_VIS1",Monoacylglycerophosphoethanolamines,2,,Y,N,0,1063710
>>500.2791@4.57,,,"QE_18_45_0,05p_VIS2",Monoacylglycerophosphoethanolamines,1,,Y,N,0,478254
>>500.2792@4.56,,,"QE_18_45_0,05p_VIS3",Monoacylglycerophosphoethanolamines,2,,Y,N,0,568376
>476.2788@4.65,,Approved,Super Sample,Monoacylglycerophosphoethanolamines,12,,Y,N,111012.99528201236,171973.1416666667
>>476.2790@4.64,,,"QE_18_45_0,05p_SIR1",Monoacylglycerophosphoethanolamines,12,,Y,N,0,110581
>>476.2790@4.66,,,"QE_18_45_0,05p_SIR2",Monoacylglycerophosphoethanolamines,5,,Y,N,0,125305
