Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
512.3000@3.90,"3","78.24","99.51","99.90","65.95","2","PC(0:0/14:0)","C22H46NO7P","Monoacylglycerophosphocholines","14:0","14:0","467.3012","1.2","[M+HCOO]-"
538.3158@4.31,"3","78.65","99.38","98.09","76.17","2","PC(16:1(9E)/0:0)","C24H48NO7P","Monoacylglycerophosphocholines","16:1","16:1","493.3168","1.3","[M+HCOO]-"
450.2632@4.40,"3","77.90","99.54","98.72","60.18","1","LysoPE(0:0/16:1(9Z))","C21H42NO7P","Monoacylglycerophosphoethanolamines","16:1","16:1","451.2699","1.3","[M-H]-"
588.3315@4.45,"3","78.03","99.18","99.05","63.27","2","LysoPC(20:4(8Z,11Z,14Z,17Z))","C28H50NO7P","Monoacylglycerophosphocholines","20:4","20:4","543.3325","1.4","[M+HCOO]-"
564.3314@4.52,"3","78.40","99.32","99.07","70.38","2","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","18:2","519.3325","1.3","[M+HCOO]-"
500.2789@4.56,"3","78.02","99.56","99.14","62.18","1","LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","C25H44NO7P","Monoacylglycerophosphoethanolamines","20:4","20:4","501.2855","1.2","[M-H]-"
476.2788@4.65,"3","78.08","99.56","99.88","62.57","1","LysoPE(0:0/18:2(9Z,12Z))","C23H44NO7P","Monoacylglycerophosphoethanolamines","18:2","18:2","477.2855","1.2","[M-H]-"
588.3317@4.75,"3","78.66","98.84","98.77","76.83","3","LysoPC(20:4(8Z,11Z,14Z,17Z))","C28H50NO7P","Monoacylglycerophosphocholines","20:4","20:4","543.3325","1.7","[M+HCOO]-"
500.2791@4.81,"4","98.83","99.19","99.85","78.33","2","LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","C25H44NO7P","Monoacylglycerophosphoethanolamines","20:4","20:4","501.2855","1.6","[M-H]-"
500.2791@4.85,"4","98.77","99.18","99.98","77.08","2","LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","C25H44NO7P","Monoacylglycerophosphoethanolamines","20:4","20:4","501.2855","1.6","[M-H]-"
564.3315@4.88,"3","78.74","99.18","99.26","77.22","3","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","18:2","519.3325","1.5","[M+HCOO]-"
476.2789@4.99,"3","78.31","99.49","99.99","67.15","2","LysoPE(0:0/18:2(9Z,12Z))","C23H44NO7P","Monoacylglycerophosphoethanolamines","18:2","18:2","477.2855","1.3","[M-H]-"
540.3315@5.52,"3","79.25","99.18","99.39","87.32","3","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","16:0","495.3325","1.5","[M+HCOO]-"
590.3473@5.53,"3","78.50","98.95","99.12","73.07","2","LysoPC(20:3(5Z,8Z,11Z))","C28H52NO7P","Monoacylglycerophosphocholines","20:3","20:3","545.3481","1.6","[M+HCOO]-"
502.2947@5.66,"4","98.63","99.21","99.76","74.41","2","LysoPE(0:0/20:3(11Z,14Z,17Z))","C25H46NO7P","Monoacylglycerophosphoethanolamines","20:3","20:3","503.3012","1.6","[M-H]-"
452.2789@5.69,"3","78.22","99.46","99.98","65.50","1","LysoPE(0:0/16:0)","C21H44NO7P","Monoacylglycerophosphoethanolamines","16:0","16:0","453.2855","1.4","[M-H]-"
566.3471@5.88,"3","78.94","99.34","99.55","80.58","2","LysoPC(18:1(11Z))","C26H52NO7P","Monoacylglycerophosphocholines","18:1","18:1","521.3481","1.3","[M+HCOO]-"
540.3315@5.97,"3","79.33","99.26","97.48","90.69","4","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","16:0","495.3325","1.4","[M+HCOO]-"
