GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGP01050073,IGZPHNNYPPAPLA-OAQYLSRUSA-N,512.3000,3.90,[M+HCOO]-,14:0,"PC(0:0/14:0)","Monoacylglycerophosphocholines",,"PL"
1,LMGP01050012,VXUOFDJKYGDUJI-OAQYLSRUSA-N,512.3000,3.90,[M+HCOO]-,14:0,"PC(14:0/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050021,LFUDDCMNKWEORN-BREAQWACSA-N,538.3158,4.31,[M+HCOO]-,16:1,"PC(16:1(9E)/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050022,LFUDDCMNKWEORN-ZXEGGCGDSA-N,538.3158,4.31,[M+HCOO]-,16:1,"PC(16:1(9Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
3,LMGP02050037,MAFRHGZTIOAXEL-WHXUGTBJSA-N,450.2632,4.40,[M-H]-,16:1,"LysoPE(0:0/16:1(9Z))","Monoacylglycerophosphoethanolamines",,"PL"
3,LMGP02050010,DSOWUEHXZJUNID-WHXUGTBJSA-N,450.2632,4.40,[M-H]-,16:1,"PE(16:1(9Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
4,LMGP01050140,GOMVPVRDBLLHQC-VEJNOCSESA-N,588.3315,4.45,[M+HCOO]-,20:4,"LysoPC(20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphocholines",,"PL"
4,LMGP01050121,IGJKYDBBINVMLH-JXRLJXCWSA-N,588.3315,4.45,[M+HCOO]-,20:4,"PC(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphocholines",,"PL"
4,LMGP01050048,LAXQYRRMGGEGOH-JXRLJXCWSA-N,588.3315,4.45,[M+HCOO]-,20:4,"PC(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
5,LMGP01050034,CLDXAAPENVNFAW-JRMAHNDFSA-N,564.3314,4.52,[M+HCOO]-,18:2,"PC(18:2(2E,4E)/0:0)","Monoacylglycerophosphocholines",,"PL"
5,LMGP01050035,SPJFYYJXNPEZDW-FTJOPAKQSA-N,564.3314,4.52,[M+HCOO]-,18:2,"PC(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
6,LMGP02050051,YWOCITMXHHTBAW-XSQXPFHXSA-N,500.2789,4.56,[M-H]-,20:4,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
6,LMGP02050052,BAKUYTLDCVITBO-YSKCIPFOSA-N,500.2789,4.56,[M-H]-,20:4,"LysoPE(0:0/20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
6,LMGP02050067,JPNPIRVRGLGTRE-YSKCIPFOSA-N,500.2789,4.56,[M-H]-,20:4,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
6,LMGP02050009,ROPRRXYVXLDXQO-XSQXPFHXSA-N,500.2789,4.56,[M-H]-,20:4,"PE(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
7,LMGP02050041,SVRBKLJIDJHADS-USWSLJGRSA-N,476.2788,4.65,[M-H]-,18:2,"LysoPE(0:0/18:2(9Z,12Z))","Monoacylglycerophosphoethanolamines",,"PL"
7,LMGP02050011,DBHKHNGBVGWQJE-USWSLJGRSA-N,476.2788,4.65,[M-H]-,18:2,"PE(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
8,LMGP01050140,GOMVPVRDBLLHQC-VEJNOCSESA-N,588.3317,4.75,[M+HCOO]-,20:4,"LysoPC(20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphocholines",,"PL"
8,LMGP01050121,IGJKYDBBINVMLH-JXRLJXCWSA-N,588.3317,4.75,[M+HCOO]-,20:4,"PC(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphocholines",,"PL"
8,LMGP01050048,LAXQYRRMGGEGOH-JXRLJXCWSA-N,588.3317,4.75,[M+HCOO]-,20:4,"PC(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
9,LMGP02050051,YWOCITMXHHTBAW-XSQXPFHXSA-N,500.2791,4.81,[M-H]-,20:4,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
9,LMGP02050052,BAKUYTLDCVITBO-YSKCIPFOSA-N,500.2791,4.81,[M-H]-,20:4,"LysoPE(0:0/20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
9,LMGP02050067,JPNPIRVRGLGTRE-YSKCIPFOSA-N,500.2791,4.81,[M-H]-,20:4,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
9,LMGP02050009,ROPRRXYVXLDXQO-XSQXPFHXSA-N,500.2791,4.81,[M-H]-,20:4,"PE(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
10,LMGP02050051,YWOCITMXHHTBAW-XSQXPFHXSA-N,500.2791,4.85,[M-H]-,20:4,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
10,LMGP02050052,BAKUYTLDCVITBO-YSKCIPFOSA-N,500.2791,4.85,[M-H]-,20:4,"LysoPE(0:0/20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
10,LMGP02050067,JPNPIRVRGLGTRE-YSKCIPFOSA-N,500.2791,4.85,[M-H]-,20:4,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
10,LMGP02050009,ROPRRXYVXLDXQO-XSQXPFHXSA-N,500.2791,4.85,[M-H]-,20:4,"PE(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
11,LMGP01050034,CLDXAAPENVNFAW-JRMAHNDFSA-N,564.3315,4.88,[M+HCOO]-,18:2,"PC(18:2(2E,4E)/0:0)","Monoacylglycerophosphocholines",,"PL"
11,LMGP01050035,SPJFYYJXNPEZDW-FTJOPAKQSA-N,564.3315,4.88,[M+HCOO]-,18:2,"PC(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
12,LMGP02050041,SVRBKLJIDJHADS-USWSLJGRSA-N,476.2789,4.99,[M-H]-,18:2,"LysoPE(0:0/18:2(9Z,12Z))","Monoacylglycerophosphoethanolamines",,"PL"
12,LMGP02050011,DBHKHNGBVGWQJE-USWSLJGRSA-N,476.2789,4.99,[M-H]-,18:2,"PE(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
13,LMGP01050074,NEGQHKSYEYVFTD-HSZRJFAPSA-N,540.3315,5.52,[M+HCOO]-,16:0,"PC(0:0/16:0)","Monoacylglycerophosphocholines",,"PL"
13,LMGP01050018,ASWBNKHCZGQVJV-HSZRJFAPSA-N,540.3315,5.52,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
13,LMGP01050113,ASWBNKHCZGQVJV-UHFFFAOYSA-N,540.3315,5.52,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
14,LMGP01050139,YHGXYYIGHBPDMX-BUTFDPNWSA-N,590.3473,5.53,[M+HCOO]-,20:3,"LysoPC(20:3(5Z,8Z,11Z))","Monoacylglycerophosphocholines",,"PL"
14,LMGP01050133,BBNHCUBQEQJHIG-FZZJNMCHSA-N,590.3473,5.53,[M+HCOO]-,20:3,"PC(20:3(8Z,11Z,14Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
15,LMGP02050048,OQKGGFIWKFEWBV-WCABUCBOSA-N,502.2947,5.66,[M-H]-,20:3,"LysoPE(0:0/20:3(11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050049,FJDVENKXPUIXRG-WMTBOZPISA-N,502.2947,5.66,[M-H]-,20:3,"LysoPE(0:0/20:3(5Z,8Z,11Z))","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050050,AKEOFNYGACQDRM-XQCPFYKGSA-N,502.2947,5.66,[M-H]-,20:3,"LysoPE(0:0/20:3(8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050065,UEONHLLDVDPRRN-WCABUCBOSA-N,502.2947,5.66,[M-H]-,20:3,"LysoPE(20:3(11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050066,YBDFPZJQBYCWBA-WMTBOZPISA-N,502.2947,5.66,[M-H]-,20:3,"LysoPE(20:3(5Z,8Z,11Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
16,LMGP02050036,CKPBBEOJHAPPBT-HXUWFJFHSA-N,452.2789,5.69,[M-H]-,16:0,"LysoPE(0:0/16:0)","Monoacylglycerophosphoethanolamines",,"PL"
16,LMGP02050002,YVYMBNSKXOXSKW-HXUWFJFHSA-N,452.2789,5.69,[M-H]-,16:0,"PE(16:0/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
17,LMGP01050138,PZRFVAHZNWPPAC-VBKSFVIKSA-N,566.3471,5.88,[M+HCOO]-,18:1,"LysoPC(18:1(11Z))","Monoacylglycerophosphocholines",,"PL"
17,LMGP01050079,LXHJYOQXXHUOHA-UPTOSOBMSA-N,566.3471,5.88,[M+HCOO]-,18:1,"PC(0:0/18:1(6Z))","Monoacylglycerophosphocholines",,"PL"
17,LMGP01050080,SULIDBRAXVDKBU-ZOGNMOHXSA-N,566.3471,5.88,[M+HCOO]-,18:1,"PC(0:0/18:1(9E))","Monoacylglycerophosphocholines",,"PL"
17,LMGP01050082,SULIDBRAXVDKBU-PTGWMXDISA-N,566.3471,5.88,[M+HCOO]-,18:1,"PC(0:0/18:1(9Z))","Monoacylglycerophosphocholines",,"PL"
