Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>540.3335@3.66,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,2264960.1636778708,1496784.25
>>540.3335@3.65,,,20181130_neg_SIR1,Monoacylglycerophosphocholines,12,,N,N,0,495838
>>540.3334@3.65,,,20181130_neg_SIR2,Monoacylglycerophosphocholines,12,,N,N,0,534122
>>540.3335@3.65,,,20181130_neg_SIR3,Monoacylglycerophosphocholines,8,,N,N,0,218600
>>540.3335@3.67,,,20181130_neg_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,549880
>>540.3335@3.64,,,20181130_neg_SIS3,Monoacylglycerophosphocholines,12,,N,N,0,525357
>>540.3335@3.66,,,20181130_neg_VIR1,Monoacylglycerophosphocholines,8,,Y,N,0,7431720
>>540.3334@3.66,,,20181130_neg_VIR2,Monoacylglycerophosphocholines,12,,N,N,0,557622
>>540.3335@3.65,,,20181130_neg_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,397171
>>540.3334@3.66,,,20181130_neg_VIS1,Monoacylglycerophosphocholines,12,,N,N,0,570177
>>540.3335@3.66,,,20181130_neg_VIS2,Monoacylglycerophosphocholines,12,,Y,N,0,5531330
>>540.3335@3.66,,,20181130_neg_VIS3,Monoacylglycerophosphocholines,11,,N,N,0,515847
>>540.3335@3.65,,,20181130_neg_SIS1_20181201153718,Monoacylglycerophosphocholines,3,,N,N,0,633747
>540.3335@3.97,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,19968067.748705402,13573883.333333334
>>540.3335@3.96,,,20181130_neg_SIR1,Monoacylglycerophosphocholines,6,,N,N,0,5380680
>>540.3335@3.96,,,20181130_neg_SIR2,Monoacylglycerophosphocholines,12,,N,N,0,4906010
>>540.3336@3.96,,,20181130_neg_SIR3,Monoacylglycerophosphocholines,12,,N,N,0,3153150
>>540.3336@3.97,,,20181130_neg_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,4349380
>>540.3335@3.95,,,20181130_neg_SIS3,Monoacylglycerophosphocholines,6,,N,N,0,3985120
>>540.3335@3.95,,,20181130_neg_VIR1,Monoacylglycerophosphocholines,5,,Y,N,0,62946900
>>540.3335@3.97,,,20181130_neg_VIR2,Monoacylglycerophosphocholines,6,,N,N,0,4072280
>>540.3336@3.98,,,20181130_neg_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,4435770
>>540.3335@3.98,,,20181130_neg_VIS1,Monoacylglycerophosphocholines,12,,Y,N,0,5277110
>>540.3334@3.96,,,20181130_neg_VIS2,Monoacylglycerophosphocholines,6,,Y,N,0,52976200
>>540.3335@3.98,,,20181130_neg_VIS3,Monoacylglycerophosphocholines,7,,Y,N,0,5747620
>>540.3335@3.96,,,20181130_neg_SIS1_20181201153718,Monoacylglycerophosphocholines,12,,N,N,0,5656380
>568.3651@5.67,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,8397969.422849424,5728928.333333333
>>568.3651@5.67,,,20181130_neg_SIR1,Monoacylglycerophosphocholines,12,,N,N,0,2260050
>>568.3651@5.64,,,20181130_neg_SIR2,Monoacylglycerophosphocholines,5,,N,N,0,1830550
>>568.3651@5.64,,,20181130_neg_SIR3,Monoacylglycerophosphocholines,4,,N,N,0,1217810
>>568.3651@5.67,,,20181130_neg_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,1994320
>>568.3651@5.68,,,20181130_neg_SIS3,Monoacylglycerophosphocholines,12,,N,N,0,1657870
>>568.3650@5.66,,,20181130_neg_VIR1,Monoacylglycerophosphocholines,12,,Y,N,0,25971200
>>568.3651@5.67,,,20181130_neg_VIR2,Monoacylglycerophosphocholines,12,,N,N,0,1731350
>>568.3652@5.67,,,20181130_neg_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,1663040
>>568.3651@5.67,,,20181130_neg_VIS1,Monoacylglycerophosphocholines,10,,N,N,0,2001500
>>568.3650@5.67,,,20181130_neg_VIS2,Monoacylglycerophosphocholines,5,,Y,N,0,22889000
>>568.3651@5.68,,,20181130_neg_VIS3,Monoacylglycerophosphocholines,12,,N,N,0,2861950
>>568.3651@5.67,,,20181130_neg_SIS1_20181201153718,Monoacylglycerophosphocholines,5,,N,N,0,2668500
>826.5642@12.90,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,530912.4276677683,2254827.5
>>826.5641@12.88,,,20181130_neg_SIR1,Diacylglycerophosphocholines,12,,N,N,0,1589520
>>826.5644@12.90,,,20181130_neg_SIR2,Diacylglycerophosphocholines,12,,N,N,0,2282360
>>826.5638@12.89,,,20181130_neg_SIR3,Diacylglycerophosphocholines,5,,Y,N,0,2457710
>>826.5647@12.90,,,20181130_neg_SIS2,Diacylglycerophosphocholines,7,,Y,N,0,1246510
>>826.5647@12.90,,,20181130_neg_SIS3,Diacylglycerophosphocholines,2,,Y,N,0,2079090
>>826.5631@12.90,,,20181130_neg_VIR1,Diacylglycerophosphocholines,12,,Y,N,0,3460000
>>826.5639@12.92,,,20181130_neg_VIR2,Diacylglycerophosphocholines,8,,N,N,0,2361350
>>826.5645@12.90,,,20181130_neg_VIR3,Diacylglycerophosphocholines,12,,Y,N,0,2255530
>>826.5628@12.93,,,20181130_neg_VIS1,Diacylglycerophosphocholines,12,,Y,N,0,2714350
>>826.5650@12.91,,,20181130_neg_VIS2,Diacylglycerophosphocholines,7,,Y,N,0,2408150
>>826.5649@12.90,,,20181130_neg_VIS3,Diacylglycerophosphocholines,12,,Y,N,0,2330710
>>826.5648@12.90,,,20181130_neg_SIS1_20181201153718,Diacylglycerophosphocholines,7,,Y,N,0,1872650
>850.5661@13.46,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,1053882.0968553466,6305913.333333333
>>850.5662@13.45,,,20181130_neg_SIR1,Diacylglycerophosphocholines,12,,Y,N,0,7200800
>>850.5661@13.46,,,20181130_neg_SIR2,Diacylglycerophosphocholines,12,,Y,N,0,7621460
>>850.5662@13.45,,,20181130_neg_SIR3,Diacylglycerophosphocholines,12,,Y,N,0,5295830
>>850.5662@13.45,,,20181130_neg_SIS2,Diacylglycerophosphocholines,12,,Y,N,0,5682470
>>850.5662@13.46,,,20181130_neg_SIS3,Diacylglycerophosphocholines,12,,Y,N,0,7181760
>>850.5662@13.46,,,20181130_neg_VIR1,Diacylglycerophosphocholines,4,,Y,N,0,7733010
>>850.5661@13.48,,,20181130_neg_VIR2,Diacylglycerophosphocholines,12,,Y,N,0,5615630
>>850.5662@13.45,,,20181130_neg_VIR3,Diacylglycerophosphocholines,12,,Y,N,0,5110320
>>850.5660@13.46,,,20181130_neg_VIS1,Diacylglycerophosphocholines,12,,Y,N,0,5825130
>>850.5661@13.45,,,20181130_neg_VIS2,Diacylglycerophosphocholines,12,,Y,N,0,4702490
>>850.5662@13.46,,,20181130_neg_VIS3,Diacylglycerophosphocholines,12,,Y,N,0,6050560
>>850.5661@13.45,,,20181130_neg_SIS1_20181201153718,Diacylglycerophosphocholines,12,,Y,N,0,7651500
>808.5547@13.51,,Approved,Super Sample,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,Y,N,972701.2855397277,1779728.8333333333
>>808.5547@13.51,,,20181130_neg_SIR1,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,2665440
>>808.5547@13.49,,,20181130_neg_SIR2,"1-(1Z-alkenyl),2-acylglycerophosphocholines",7,,N,N,0,2556380
>>808.5547@13.50,,,20181130_neg_SIR3,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,2474060
>>808.5547@13.50,,,20181130_neg_SIS2,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,Y,N,0,1978690
>>808.5546@13.50,,,20181130_neg_SIS3,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,2797220
>>808.5547@13.49,,,20181130_neg_VIR1,"1-(1Z-alkenyl),2-acylglycerophosphocholines",3,,N,N,0,919459
>>808.5547@13.53,,,20181130_neg_VIR2,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,838848
>>808.5547@13.53,,,20181130_neg_VIR3,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,805347
>>808.5547@13.51,,,20181130_neg_VIS1,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,1068590
>>808.5546@13.53,,,20181130_neg_VIS2,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,N,N,0,689209
>>808.5546@13.53,,,20181130_neg_VIS3,"1-(1Z-alkenyl),2-acylglycerophosphocholines",7,,N,N,0,933533
>>808.5546@13.52,,,20181130_neg_SIS1_20181201153718,"1-(1Z-alkenyl),2-acylglycerophosphocholines",12,,Y,N,0,3629970
>773.5387@13.54,,Approved,Super Sample,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,258571.62740541223,1118477.5
>>773.5389@13.53,,,20181130_neg_SIR1,Monoacylglycerophosphomonoradylglycerols,12,,N,N,0,1340140
>>773.5387@13.54,,,20181130_neg_SIR2,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,1474220
>>773.5387@13.54,,,20181130_neg_SIR3,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,1161270
>>773.5387@13.53,,,20181130_neg_SIS2,Monoacylglycerophosphomonoradylglycerols,12,,N,N,0,871335
>>773.5389@13.54,,,20181130_neg_SIS3,Monoacylglycerophosphomonoradylglycerols,12,,N,N,0,982043
>>773.5389@13.55,,,20181130_neg_VIR1,Monoacylglycerophosphomonoradylglycerols,12,,N,N,0,1478880
>>773.5386@13.54,,,20181130_neg_VIR2,Monoacylglycerophosphomonoradylglycerols,4,,Y,N,0,918271
>>773.5386@13.54,,,20181130_neg_VIR3,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,952272
>>773.5386@13.57,,,20181130_neg_VIS1,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,1287790
>>773.5386@13.53,,,20181130_neg_VIS2,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,638163
>>773.5386@13.54,,,20181130_neg_VIS3,Monoacylglycerophosphomonoradylglycerols,12,,Y,N,0,952636
>>773.5389@13.53,,,20181130_neg_SIS1_20181201153718,Monoacylglycerophosphomonoradylglycerols,12,,N,N,0,1364710
>750.5124@13.60,,Approved,Super Sample,Diacylglycerophosphoethanolamines,12,,Y,N,2092533.9427493962,6420985
>>750.5125@13.60,,,20181130_neg_SIR1,Diacylglycerophosphoethanolamines,5,,Y,N,0,6727950
>>750.5124@13.60,,,20181130_neg_SIR2,Diacylglycerophosphoethanolamines,12,,Y,N,0,8819780
>>750.5124@13.59,,,20181130_neg_SIR3,Diacylglycerophosphoethanolamines,12,,Y,N,0,11016100
>>750.5124@13.60,,,20181130_neg_SIS2,Diacylglycerophosphoethanolamines,12,,Y,N,0,6433160
>>750.5124@13.60,,,20181130_neg_SIS3,Diacylglycerophosphoethanolamines,12,,Y,N,0,7872480
>>750.5125@13.61,,,20181130_neg_VIR1,Diacylglycerophosphoethanolamines,12,,Y,N,0,5196170
>>750.5124@13.60,,,20181130_neg_VIR2,Diacylglycerophosphoethanolamines,12,,Y,N,0,6538720
>>750.5124@13.61,,,20181130_neg_VIR3,Diacylglycerophosphoethanolamines,12,,Y,N,0,5665820
>>750.5124@13.61,,,20181130_neg_VIS1,Diacylglycerophosphoethanolamines,12,,Y,N,0,4107080
>>750.5123@13.62,,,20181130_neg_VIS2,Diacylglycerophosphoethanolamines,6,,Y,N,0,2980480
>>750.5124@13.61,,,20181130_neg_VIS3,Diacylglycerophosphoethanolamines,5,,Y,N,0,4516720
>>750.5124@13.61,,,20181130_neg_SIS1_20181201153718,Diacylglycerophosphoethanolamines,12,,Y,N,0,7177360
>826.5656@13.76,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,9178548.307523455,51420025
>>826.5656@13.76,,,20181130_neg_SIR1,Diacylglycerophosphocholines,12,,Y,N,0,54358200
>>826.5656@13.75,,,20181130_neg_SIR2,Diacylglycerophosphocholines,12,,Y,N,0,59692400
>>826.5656@13.76,,,20181130_neg_SIR3,Diacylglycerophosphocholines,12,,Y,N,0,45409900
>>826.5656@13.77,,,20181130_neg_SIS2,Diacylglycerophosphocholines,12,,Y,N,0,40482000
>>826.5655@13.75,,,20181130_neg_SIS3,Diacylglycerophosphocholines,12,,Y,N,0,55699100
>>826.5656@13.76,,,20181130_neg_VIR1,Diacylglycerophosphocholines,12,,Y,N,0,73787900
>>826.5656@13.76,,,20181130_neg_VIR2,Diacylglycerophosphocholines,12,,Y,N,0,48175900
>>826.5655@13.76,,,20181130_neg_VIR3,Diacylglycerophosphocholines,12,,Y,N,0,50287800
>>826.5655@13.77,,,20181130_neg_VIS1,Diacylglycerophosphocholines,12,,Y,N,0,52986500
>>826.5656@13.76,,,20181130_neg_VIS2,Diacylglycerophosphocholines,12,,Y,N,0,38074600
>>826.5656@13.76,,,20181130_neg_VIS3,Diacylglycerophosphocholines,12,,Y,N,0,43759600
>>826.5655@13.76,,,20181130_neg_SIS1_20181201153718,Diacylglycerophosphocholines,12,,Y,N,0,54326400
