Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
540.3335@3.66,"3","77.07","90.85","99.91","59.74","1","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","-","495.3325","5.1","[M+HCOO]-"
540.3335@3.97,"3","77.36","90.59","98.30","67.80","2","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","-","495.3325","5.2","[M+HCOO]-"
568.3651@5.67,"3","77.49","89.01","98.63","73.17","3","PC(0:0/18:0)","C26H54NO7P","Monoacylglycerophosphocholines","18:0","-","523.3638","5.5","[M+HCOO]-"
826.5642@12.90,"3","76.44","86.09","99.05","57.48","2","PC(18:2(2E,4E)/18:2(2E,4E))","C44H80NO8P","Diacylglycerophosphocholines","36:4","18:2(2E,4E)/18:2(2E,4E)","781.5622","4.7","[M+HCOO]-"
850.5661@13.46,"3","75.36","71.87","99.59","63.87","5","PC(16:0/22:6(4E,7E,10E,13E,16E,19E))","C46H80NO8P","Diacylglycerophosphocholines","38:6","16:0/22:6(4E,7E,10E,13E,16E,19E)","805.5622","6.8","[M+HCOO]-"
808.5547@13.51,"3","75.74","78.59","98.70","58.82","2","PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","C44H78NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","36:5","P-16:0/20:5(5Z,8Z,11Z,14Z,17Z)","763.5516","6.0","[M+HCOO]-"
773.5387@13.54,"3","75.71","77.84","99.30","59.21","4","LBPA(18:1(9Z)/18:1(9Z))","C42H79O10P","Monoacylglycerophosphomonoradylglycerols","36:2","18:1(9Z)/18:1(9Z)","774.5411","6.3","[M-H]-"
,"3","75.60","77.84","99.30","56.92","4","PG(18:1(9E)/18:1(9E))","C42H79O10P","Diacylglycerophosphoglycerols","36:2","18:1(9E)/18:1(9E)","774.5411","6.3","[M-H]-"
750.5124@13.60,"3","76.02","80.94","99.96","58.53","3","PE(17:1(9Z)/20:4(5Z,8Z,11Z,14Z))","C42H74NO8P","Diacylglycerophosphoethanolamines","37:5","17:1(9Z)/20:4(5Z,8Z,11Z,14Z)","751.5152","6.0","[M-H]-"
826.5656@13.76,"3","75.51","76.21","99.06","58.62","2","PC(16:0/20:4(5E,8E,11E,14E))","C44H80NO8P","Diacylglycerophosphocholines","36:4","16:0/20:4(5E,8E,11E,14E)","781.5622","6.3","[M+HCOO]-"
802.5652@13.89,"3","75.97","78.43","98.73","63.81","4","PC(16:0/18:2(10E,12Z))","C42H80NO8P","Diacylglycerophosphocholines","34:2","16:0/18:2(10E,12Z)","757.5622","6.1","[M+HCOO]-"
828.5804@14.11,"3","76.24","82.52","98.67","61.12","2","PC(18:1(11Z)/18:2(9Z,12Z))","C44H82NO8P","Diacylglycerophosphocholines","36:3","18:1(11Z)/18:2(9Z,12Z)","783.5778","5.3","[M+HCOO]-"
,"3","76.05","82.58","99.53","56.28","1","PS(18:2(9Z,12Z)/21:0)","C45H84NO10P","Diacylglycerophosphoserines","39:2","18:2(9Z,12Z)/21:0","829.5833","5.3","[M-H]-"
738.5122@14.12,"3","76.30","82.49","99.30","61.61","2","PE(16:0/20:4(5Z,8Z,11Z,14Z))","C41H74NO8P","Diacylglycerophosphoethanolamines","36:4","16:0/20:4(5Z,8Z,11Z,14Z)","739.5152","5.8","[M-H]-"
878.5977@14.12,"3","69.84","69.95","0.00","56.97","2","PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","C48H84NO8P","Diacylglycerophosphocholines","40:6","18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)","833.5935","6.9","[M+HCOO]-"
764.5281@14.30,"3","76.02","80.41","99.90","59.64","2","PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","C43H76NO8P","Diacylglycerophosphoethanolamines","38:5","18:1(9Z)/20:4(5Z,8Z,11Z,14Z)","765.5309","6.0","[M-H]-"
840.5814@14.36,"3","70.11","74.62","0.00","52.99","1","PC(17:0/20:4(5Z,8Z,11Z,14Z))","C45H82NO8P","Diacylglycerophosphocholines","37:4","17:0/20:4(5Z,8Z,11Z,14Z)","795.5778","6.5","[M+HCOO]-"
828.5812@14.40,"3","75.91","76.44","98.59","66.80","4","PC(16:0/20:3(5Z,8Z,11Z))","C44H82NO8P","Diacylglycerophosphocholines","36:3","16:0/20:3(5Z,8Z,11Z)","783.5778","6.3","[M+HCOO]-"
810.5702@14.52,"3","76.23","79.39","98.94","66.83","4","PC(O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))","C44H80NO7P","1-alkyl,2-acylglycerophosphocholines","36:5","O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z)","765.5672","5.9","[M+HCOO]-"
,"3","76.23","79.39","98.94","66.83","4","PC(P-16:0/20:4(5Z,8Z,11Z,14Z))","C44H80NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","36:4","P-16:0/20:4(5Z,8Z,11Z,14Z)","765.5672","5.9","[M+HCOO]-"
746.5174@14.57,"3","76.09","81.72","99.58","58.75","2","PE(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C43H74NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","38:6","P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)","747.5203","5.8","[M-H]-"
786.5702@14.71,"3","75.83","79.20","98.60","59.60","3","PC(O-16:1(9Z)/18:2(9Z,12Z))","C42H80NO7P","1-alkyl,2-acylglycerophosphocholines","34:3","O-16:1(9Z)/18:2(9Z,12Z)","741.5672","6.0","[M+HCOO]-"
,"3","75.83","79.20","98.60","59.60","3","PC(P-16:0/18:2(9Z,12Z))","C42H80NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","34:2","P-16:0/18:2(9Z,12Z)","741.5672","6.0","[M+HCOO]-"
816.5810@14.75,"3","75.64","77.45","99.38","58.46","2","PC(17:0/18:2(9Z,12Z))","C43H82NO8P","Diacylglycerophosphocholines","35:2","17:0/18:2(9Z,12Z)","771.5778","6.2","[M+HCOO]-"
778.5649@14.86,"3","76.06","80.50","98.14","62.04","5","PC(16:0/16:0)","C40H80NO8P","Diacylglycerophosphocholines","32:0","16:0/16:0","733.5622","5.9","[M+HCOO]-"
722.5169@14.90,"3","76.44","84.65","99.63","59.80","3","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","C41H74NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","36:4","P-16:0/20:4(5Z,8Z,11Z,14Z)","723.5203","5.4","[M-H]-"
698.5167@15.09,"3","76.38","86.30","99.52","55.47","1","PE(P-16:0/18:2(9Z,12Z))","C39H74NO7P","1-(1Z-alkenyl),2-acylglycerophosphoethanolamines","34:2","P-16:0/18:2(9Z,12Z)","699.5203","5.2","[M-H]-"
