GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGP01050074,NEGQHKSYEYVFTD-HSZRJFAPSA-N,540.3335,3.66,[M+HCOO]-,16:0,"PC(0:0/16:0)","Monoacylglycerophosphocholines",,"PL"
1,LMGP01050018,ASWBNKHCZGQVJV-HSZRJFAPSA-N,540.3335,3.66,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
1,LMGP01050113,ASWBNKHCZGQVJV-UHFFFAOYSA-N,540.3335,3.66,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050074,NEGQHKSYEYVFTD-HSZRJFAPSA-N,540.3335,3.97,[M+HCOO]-,16:0,"PC(0:0/16:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050018,ASWBNKHCZGQVJV-HSZRJFAPSA-N,540.3335,3.97,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050113,ASWBNKHCZGQVJV-UHFFFAOYSA-N,540.3335,3.97,[M+HCOO]-,16:0,"PC(16:0/0:0)","Monoacylglycerophosphocholines",,"PL"
3,LMGP01050076,IQGPMZRCLCCXAG-RUZDIDTESA-N,568.3651,5.67,[M+HCOO]-,18:0,"PC(0:0/18:0)","Monoacylglycerophosphocholines",,"PL"
3,LMGP01050026,IHNKQIMGVNPMTC-RUZDIDTESA-N,568.3651,5.67,[M+HCOO]-,18:0,"PC(18:0/0:0)","Monoacylglycerophosphocholines",,"PL"
4,LMGP01010921,UZBZIHXSLHMNPD-DFTZLCQUSA-N,826.5642,12.90,[M+HCOO]-,36:4,"PC(18:2(2E,4E)/18:2(2E,4E))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010924,UZBZIHXSLHMNPD-BWTKLWTOSA-N,826.5642,12.90,[M+HCOO]-,36:4,"PC(18:2(2Z,4Z)/18:2(2Z,4Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010927,YOGHMRPFWPTTQK-OILZCJRVSA-N,826.5642,12.90,[M+HCOO]-,36:4,"PC(18:2(6Z,9Z)/18:2(6Z,9Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010930,FDJMFFOKIXCKTF-MMWMKIJTSA-N,826.5642,12.90,[M+HCOO]-,36:4,"PC(18:2(9Z,11Z)/18:2(9Z,11Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010937,FVXDQWZBHIXIEJ-LNDKUQBDSA-N,826.5642,12.90,[M+HCOO]-,36:4,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01010650,IESVDEZGAHUQJU-PYFUMDFMSA-N,850.5661,13.46,[M+HCOO]-,38:6,"PC(16:0/22:6(4E,7E,10E,13E,16E,19E))","Diacylglycerophosphocholines",,"PL"
5,LMGP01012137,IESVDEZGAHUQJU-ZLBXKVHBSA-N,850.5661,13.46,[M+HCOO]-,38:6,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01011115,YALZVLCVXOASDL-WGQTYHPMSA-N,850.5661,13.46,[M+HCOO]-,38:6,"PC(22:6(4E,7E,10E,13E,16E,19E)/16:0)","Diacylglycerophosphocholines",,"PL"
5,LMGP01011116,YALZVLCVXOASDL-FZGNBNATSA-N,850.5661,13.46,[M+HCOO]-,38:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)","Diacylglycerophosphocholines",,"PL"
6,LMGP01030040,OEZJTMNFEIOILN-ACTKFRKUSA-N,808.5547,13.51,[M+HCOO]-,36:5,"PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","1-(1Z-alkenyl),2-acylglycerophosphocholines",,"PL"
7,LMGP04100003,ZCXRIDHJRROVJY-JOZUOZHYSA-N,773.5387,13.54,[M-H]-,36:2,"LBPA(18:1(9Z)/18:1(9Z))","Monoacylglycerophosphomonoradylglycerols",,"PL"
8,LMGP02010583,FUGOLECXRSCTDY-CUXNRXKXSA-N,750.5124,13.60,[M-H]-,37:5,"PE(17:1(9Z)/20:4(5Z,8Z,11Z,14Z))","Diacylglycerophosphoethanolamines",,"PL"
8,LMGP02010941,QBVRYNRMVBDYSA-FAKPWOLPSA-N,750.5124,13.60,[M-H]-,37:5,"PE(20:4(5Z,8Z,11Z,14Z)/17:1(9Z))","Diacylglycerophosphoethanolamines",,"PL"
9,LMGP01010629,IIZPXYDJLKNOIY-LBKRVYFZSA-N,826.5656,13.76,[M+HCOO]-,36:4,"PC(16:0/20:4(5E,8E,11E,14E))","Diacylglycerophosphocholines",,"PL"
