Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>542.3338@3.35,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,51312.57874799479,127734.64999999998
>>542.3335@3.37,,,"QE_18_45_0,05p_SIR1_20181110072802",Monoacylglycerophosphocholines,12,,N,N,0,68767
>>542.3364@3.44,,,"QE_18_45_0,05p_SIR2_20181110080303",Monoacylglycerophosphocholines,12,,N,N,0,77229
>>542.3328@3.28,,,"QE_18_45_0,05p_SIR3_20181110083804",Monoacylglycerophosphocholines,2,,N,N,0,201070
>>542.3330@3.26,,,"QE_18_45_0,05p_SIS1_20181110050800",Monoacylglycerophosphocholines,12,,N,N,0,121271
>>542.3329@3.33,,,"QE_18_45_0,05p_SIS2_20181110054301",Monoacylglycerophosphocholines,12,,Y,N,0,246327
>>542.3345@3.37,,,"QE_18_45_0,05p_SIS3_20181110061802",Monoacylglycerophosphocholines,5,,N,N,0,78467
>>542.3351@3.16,,,"QE_18_45_0,05p_VIR1_20181110124308",Monoacylglycerophosphocholines,12,,N,N,0,146586
>>542.3337@3.36,,,"QE_18_45_0,05p_VIR2_20181110131811",Monoacylglycerophosphocholines,11,,Y,N,0,148183
>>542.3339@3.39,,,"QE_18_45_0,05p_VIR3_20181110135312",Monoacylglycerophosphocholines,12,,N,N,0,85672
>>542.3320@3.55,,,"QE_18_45_0,05p_VIS1_20181110094805",Monoacylglycerophosphocholines,5,,N,N,0,142953
>>542.3343@3.32,,,"QE_18_45_0,05p_VIS2_20181110102309",Monoacylglycerophosphocholines,6,,N,N,0,100576
>>542.3338@3.37,,,"QE_18_45_0,05p_VIS3_20181110105810",Monoacylglycerophosphocholines,5,,N,N,0,115715
>468.3129@3.58,,Approved,Super Sample,"1-alkyl,2-acylglycerophosphocholines",12,,Y,N,93334.76129454514,192184.08333333334
>>468.3110@3.51,,,"QE_18_45_0,05p_SIR1_20181110072802",Monoacylglycerophosphocholines,12,,N,N,0,128196
>>468.3119@3.54,,,"QE_18_45_0,05p_SIR2_20181110080303",Monoacylglycerophosphocholines,1,,N,N,0,124857
>>468.3133@3.71,,,"QE_18_45_0,05p_SIR3_20181110083804",Monoacylglycerophosphocholines,8,,N,N,0,185478
>>468.3119@3.52,,,"QE_18_45_0,05p_SIS1_20181110050800",Monoacylglycerophosphocholines,12,,N,N,0,171816
>>468.3132@3.75,,,"QE_18_45_0,05p_SIS2_20181110054301",Monoacylglycerophosphocholines,6,,N,N,0,220258
>>468.3122@3.51,,,"QE_18_45_0,05p_SIS3_20181110061802",Monoacylglycerophosphocholines,10,,N,N,0,134244
>>468.3160@3.51,,,"QE_18_45_0,05p_VIR1_20181110124308","1-alkyl,2-acylglycerophosphocholines",6,,Y,N,0,368690
>>468.3131@3.33,,,"QE_18_45_0,05p_VIR2_20181110131811",Monoacylglycerophosphocholines,12,,N,N,0,136776
>>468.3172@3.51,,,"QE_18_45_0,05p_VIR3_20181110135312",Monoacylglycerophosphocholines,1,,N,N,0,113303
>>468.3108@3.74,,,"QE_18_45_0,05p_VIS1_20181110094805",Monoacylglycerophosphocholines,6,,N,N,0,118380
>>468.3099@3.52,,,"QE_18_45_0,05p_VIS2_20181110102309","1-alkyl,2-acylglycerophosphocholines",2,,Y,N,0,405171
>>468.3140@3.76,,,"QE_18_45_0,05p_VIS3_20181110105810",Monoacylglycerophosphocholines,12,,N,N,0,199040
>542.3268@3.74,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,133287.82276670623,509439.6666666667
>>542.3249@3.73,,,"QE_18_45_0,05p_SIR1_20181110072802",Monoacylglycerophosphocholines,12,,Y,N,0,518566
>>542.3321@3.74,,,"QE_18_45_0,05p_SIR2_20181110080303",Monoacylglycerophosphocholines,1,,Y,N,0,483194
>>542.3251@3.74,,,"QE_18_45_0,05p_SIR3_20181110083804",Monoacylglycerophosphocholines,12,,Y,N,0,433194
>>542.3240@3.74,,,"QE_18_45_0,05p_SIS1_20181110050800",Monoacylglycerophosphocholines,12,,Y,N,0,778241
>>542.3267@3.72,,,"QE_18_45_0,05p_SIS2_20181110054301",Monoacylglycerophosphocholines,5,,Y,N,0,632551
>>542.3276@3.74,,,"QE_18_45_0,05p_SIS3_20181110061802",Monoacylglycerophosphocholines,1,,N,N,0,561010
>>542.3312@3.75,,,"QE_18_45_0,05p_VIR1_20181110124308",Monoacylglycerophosphocholines,5,,Y,N,0,625012
>>542.3264@3.74,,,"QE_18_45_0,05p_VIR2_20181110131811",Monoacylglycerophosphocholines,12,,N,N,0,318167
