Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
542.3338@3.35,"3","65.90","31.15","0.00","55.79","1","PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C28H48NO7P","Monoacylglycerophosphocholines","20:5","-","541.3168","17.9","[M+H]+"
468.3129@3.58,"3","71.42","77.49","0.00","73.41","2","PC(O-12:0/2:0)","C22H46NO7P","1-alkyl,2-acylglycerophosphocholines","14:0","-","467.3012","9.4","[M+H]+"
,"3","71.24","77.49","0.00","69.78","2","PC(0:0/14:0)","C22H46NO7P","Monoacylglycerophosphocholines","14:0","-","467.3012","9.4","[M+H]+"
542.3268@3.74,"3","78.11","91.73","99.35","79.30","2","PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C28H48NO7P","Monoacylglycerophosphocholines","20:5","-","541.3168","4.9","[M+H]+"
,"3","75.16","72.95","97.31","60.05","1","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","9.3","[M+Na]+"
468.3111@3.91,"3","78.11","91.25","98.94","80.71","3","PC(0:0/14:0)","C22H46NO7P","Monoacylglycerophosphocholines","14:0","-","467.3012","5.6","[M+H]+"
,"3","78.09","91.25","98.94","80.40","3","PC(O-12:0/2:0)","C22H46NO7P","1-alkyl,2-acylglycerophosphocholines","14:0","-","467.3012","5.6","[M+H]+"
568.3496@4.15,"3","67.70","30.60","32.60","60.23","1","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C30H50NO7P","Monoacylglycerophosphocholines","22:6","-","567.3325","17.4","[M+H]+"
568.3471@4.25,"3","73.49","52.02","94.11","71.65","1","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C30H50NO7P","Monoacylglycerophosphocholines","22:6","-","567.3325","12.9","[M+H]+"
516.3067@4.27,"4","93.77","99.54","0.00","76.30","2","PC(16:1(9E)/0:0)","C24H48NO7P","Monoacylglycerophosphocholines","16:1","-","493.3168","1.2","[M+Na]+"
,"4","93.39","95.98","0.00","75.87","2","PC(18:4(6Z,9Z,12Z,15Z)/0:0)","C26H46NO7P","Monoacylglycerophosphocholines","18:4","-","515.3012","3.5","[M+H]+"
568.3410@4.29,"3","73.35","98.32","0.00","70.45","1","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C30H50NO7P","Monoacylglycerophosphocholines","22:6","-","567.3325","2.1","[M+H]+"
494.3251@4.31,"3","79.08","98.70","97.10","87.16","6","PC(16:1(9E)/0:0)","C24H48NO7P","Monoacylglycerophosphocholines","16:1","-","493.3168","2.0","[M+H]+"
568.3482@4.34,"3","67.80","42.36","0.00","71.24","1","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C30H50NO7P","Monoacylglycerophosphocholines","22:6","-","567.3325","14.8","[M+H]+"
526.2910@4.39,"3","72.85","99.62","0.00","57.67","1","LysoPE(0:0/20:3(11Z,14Z,17Z))","C25H46NO7P","Monoacylglycerophosphoethanolamines","20:3","-","503.3012","1.0","[M+Na]+"
,"3","72.83","95.76","0.00","65.12","1","LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C27H44NO7P","Monoacylglycerophosphoethanolamines","22:6","-","525.2855","3.5","[M+H]+"
544.3419@4.44,"3","78.64","94.70","99.44","83.86","3","LysoPC(20:4(8Z,11Z,14Z,17Z))","C28H50NO7P","Monoacylglycerophosphocholines","20:4","-","543.3325","3.9","[M+H]+"
520.3403@4.53,"3","79.14","99.67","99.24","84.16","3","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","1.0","[M+H]+"
568.3409@4.55,"3","78.94","98.32","99.23","82.96","3","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","C30H50NO7P","Monoacylglycerophosphocholines","22:6","-","567.3325","2.1","[M+H]+"
,"3","76.41","85.53","96.45","60.63","1","LysoPC(20:3(5Z,8Z,11Z))","C28H52NO7P","Monoacylglycerophosphocholines","20:3","-","545.3481","6.3","[M+Na]+"
502.2940@4.57,"3","79.11","98.13","99.92","86.05","1","LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","C25H44NO7P","Monoacylglycerophosphoethanolamines","20:4","-","501.2855","2.4","[M+H]+"
,"3","76.78","84.56","98.20","68.28","1","LysoPE(0:0/18:1(11Z))","C23H46NO7P","Monoacylglycerophosphoethanolamines","18:1","-","479.3012","7.2","[M+Na]+"
526.2943@4.65,"3","78.18","97.43","98.56","70.18","2","LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C27H44NO7P","Monoacylglycerophosphoethanolamines","22:6","-","525.2855","2.7","[M+H]+"
,"3","75.97","83.06","95.00","58.22","1","LysoPE(0:0/20:3(11Z,14Z,17Z))","C25H46NO7P","Monoacylglycerophosphoethanolamines","20:3","-","503.3012","7.3","[M+Na]+"
478.2941@4.65,"3","79.16","97.74","99.59","88.10","1","LysoPE(0:0/18:2(9Z,12Z))","C23H44NO7P","Monoacylglycerophosphoethanolamines","18:2","-","477.2855","2.8","[M+H]+"
544.3411@4.75,"3","78.29","97.83","83.76","86.46","5","LysoPC(20:4(8Z,11Z,14Z,17Z))","C28H50NO7P","Monoacylglycerophosphocholines","20:4","-","543.3325","2.4","[M+H]+"
,"3","75.51","84.13","81.28","60.62","1","LysoPC(18:1(11Z))","C26H52NO7P","Monoacylglycerophosphocholines","18:1","-","521.3481","6.9","[M+Na]+"
494.3294@4.83,"3","70.21","69.46","0.00","65.20","2","PC(16:1(9E)/0:0)","C24H48NO7P","Monoacylglycerophosphocholines","16:1","-","493.3168","10.8","[M+H]+"
520.3415@4.89,"3","79.01","96.50","99.95","87.32","6","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","3.2","[M+H]+"
542.3247@4.89,"4","98.86","99.62","97.05","80.83","2","PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C28H48NO7P","Monoacylglycerophosphocholines","20:5","-","541.3168","1.0","[M+H]+"
,"4","98.14","89.69","98.20","85.19","3","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","5.5","[M+Na]+"
482.3244@4.91,"3","79.09","99.88","99.27","82.69","4","PC(15:0/0:0)","C23H48NO7P","Monoacylglycerophosphocholines","15:0","-","481.3168","0.6","[M+H]+"
478.2940@4.99,"3","79.02","98.12","99.21","84.96","2","LysoPE(0:0/18:2(9Z,12Z))","C23H44NO7P","Monoacylglycerophosphoethanolamines","18:2","-","477.2855","2.5","[M+H]+"
570.3568@5.09,"3","78.50","97.66","95.77","78.81","3","LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","C30H52NO7P","Monoacylglycerophosphocholines","22:5","-","569.3481","2.5","[M+H]+"
,"3","75.89","83.91","90.61","59.35","1","PC(20:2(11Z,14Z)/0:0)","C28H54NO7P","Monoacylglycerophosphocholines","20:2","-","547.3638","6.7","[M+Na]+"
528.3101@5.21,"3","78.69","96.62","99.74","80.84","1","LysoPE(0:0/22:5(4Z,7Z,10Z,13Z,16Z))","C27H46NO7P","Monoacylglycerophosphoethanolamines","22:5","-","527.3012","3.1","[M+H]+"
,"3","76.29","81.32","97.62","65.64","1","LysoPE(0:0/20:2(11Z,14Z))","C25H48NO7P","Monoacylglycerophosphoethanolamines","20:2","-","505.3168","7.7","[M+Na]+"
508.3411@5.28,"3","73.60","97.74","0.00","76.43","3","PC(17:1(10Z)/0:0)","C25H50NO7P","Monoacylglycerophosphocholines","17:1","-","507.3325","2.6","[M+H]+"
564.3182@5.52,"3","67.39","16.89","56.92","57.09","1","PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","C28H48NO7P","Monoacylglycerophosphocholines","20:5","-","541.3168","21.4","[M+Na]+"
496.3410@5.53,"3","79.16","98.02","98.48","88.68","4","PC(O-14:0/2:0)","C24H50NO7P","1-alkyl,2-acylglycerophosphocholines","16:0","-","495.3325","2.5","[M+H]+"
,"3","79.14","98.02","98.48","88.33","4","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","-","495.3325","2.5","[M+H]+"
546.3574@5.53,"3","78.57","95.31","99.37","81.48","3","LysoPC(20:3(5Z,8Z,11Z))","C28H52NO7P","Monoacylglycerophosphocholines","20:3","-","545.3481","3.6","[M+H]+"
,"3","75.73","78.91","96.84","59.97","1","PC(0:0/18:0)","C26H54NO7P","Monoacylglycerophosphocholines","18:0","-","523.3638","8.0","[M+Na]+"
518.3221@5.53,"4","98.86","99.81","94.56","83.00","3","PC(0:0/16:0)","C24H50NO7P","Monoacylglycerophosphocholines","16:0","-","495.3325","0.8","[M+Na]+"
454.2939@5.69,"3","79.39","98.41","99.67","91.36","1","LysoPE(0:0/16:0)","C21H44NO7P","Monoacylglycerophosphoethanolamines","16:0","-","453.2855","2.4","[M+H]+"
544.3391@5.89,"4","98.04","96.40","89.08","78.99","3","LysoPC(18:1(11Z))","C26H52NO7P","Monoacylglycerophosphocholines","18:1","-","521.3481","3.2","[M+Na]+"
522.3562@5.89,"3","79.24","99.30","99.74","86.37","3","LysoPC(18:1(11Z))","C26H52NO7P","Monoacylglycerophosphocholines","18:1","-","521.3481","1.4","[M+H]+"
,"3","79.22","99.30","99.74","86.00","3","PC(O-16:1(11Z)/2:0)","C26H52NO7P","1-alkyl,2-acylglycerophosphocholines","18:1","-","521.3481","1.4","[M+H]+"
,"3","79.22","99.30","99.74","86.00","3","PC(P-16:0/2:0)","C26H52NO7P","1-(1Z-alkenyl),2-acylglycerophosphocholines","18:0","-","521.3481","1.4","[M+H]+"
