GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGP01050050,PDIGSOAOQOXRDU-WJPZTBRDSA-N,542.3338,3.35,[M+H]+,20:5,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01020009,WNCMKZYTLBIUSK-JOCHJYFZSA-N,468.3129,3.58,[M+H]+,14:0,"PC(O-12:0/2:0)","1-alkyl,2-acylglycerophosphocholines",,"PL"
3,LMGP01050050,PDIGSOAOQOXRDU-WJPZTBRDSA-N,542.3268,3.74,[M+H]+,20:5,"PC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
4,LMGP01050073,IGZPHNNYPPAPLA-OAQYLSRUSA-N,468.3111,3.91,[M+H]+,14:0,"PC(0:0/14:0)","Monoacylglycerophosphocholines",,"PL"
4,LMGP01050012,VXUOFDJKYGDUJI-OAQYLSRUSA-N,468.3111,3.91,[M+H]+,14:0,"PC(14:0/0:0)","Monoacylglycerophosphocholines",,"PL"
5,LMGP01050056,LSOWKZULVQWMLY-APPDJCNMSA-N,568.3496,4.15,[M+H]+,22:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
6,LMGP01050056,LSOWKZULVQWMLY-APPDJCNMSA-N,568.3471,4.25,[M+H]+,22:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
7,LMGP01050021,LFUDDCMNKWEORN-BREAQWACSA-N,516.3067,4.27,[M+Na]+,16:1,"PC(16:1(9E)/0:0)","Monoacylglycerophosphocholines",,"PL"
7,LMGP01050022,LFUDDCMNKWEORN-ZXEGGCGDSA-N,516.3067,4.27,[M+Na]+,16:1,"PC(16:1(9Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
8,LMGP01050056,LSOWKZULVQWMLY-APPDJCNMSA-N,568.3410,4.29,[M+H]+,22:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
9,LMGP01050021,LFUDDCMNKWEORN-BREAQWACSA-N,494.3251,4.31,[M+H]+,16:1,"PC(16:1(9E)/0:0)","Monoacylglycerophosphocholines",,"PL"
9,LMGP01050022,LFUDDCMNKWEORN-ZXEGGCGDSA-N,494.3251,4.31,[M+H]+,16:1,"PC(16:1(9Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
10,LMGP01050056,LSOWKZULVQWMLY-APPDJCNMSA-N,568.3482,4.34,[M+H]+,22:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
11,LMGP02050048,OQKGGFIWKFEWBV-WCABUCBOSA-N,526.2910,4.39,[M+Na]+,20:3,"LysoPE(0:0/20:3(11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
11,LMGP02050049,FJDVENKXPUIXRG-WMTBOZPISA-N,526.2910,4.39,[M+Na]+,20:3,"LysoPE(0:0/20:3(5Z,8Z,11Z))","Monoacylglycerophosphoethanolamines",,"PL"
11,LMGP02050050,AKEOFNYGACQDRM-XQCPFYKGSA-N,526.2910,4.39,[M+Na]+,20:3,"LysoPE(0:0/20:3(8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
11,LMGP02050065,UEONHLLDVDPRRN-WCABUCBOSA-N,526.2910,4.39,[M+Na]+,20:3,"LysoPE(20:3(11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
11,LMGP02050066,YBDFPZJQBYCWBA-WMTBOZPISA-N,526.2910,4.39,[M+Na]+,20:3,"LysoPE(20:3(5Z,8Z,11Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
12,LMGP01050140,GOMVPVRDBLLHQC-VEJNOCSESA-N,544.3419,4.44,[M+H]+,20:4,"LysoPC(20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphocholines",,"PL"
12,LMGP01050121,IGJKYDBBINVMLH-JXRLJXCWSA-N,544.3419,4.44,[M+H]+,20:4,"PC(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphocholines",,"PL"
12,LMGP01050048,LAXQYRRMGGEGOH-JXRLJXCWSA-N,544.3419,4.44,[M+H]+,20:4,"PC(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
13,LMGP01050034,CLDXAAPENVNFAW-JRMAHNDFSA-N,520.3403,4.53,[M+H]+,18:2,"PC(18:2(2E,4E)/0:0)","Monoacylglycerophosphocholines",,"PL"
13,LMGP01050035,SPJFYYJXNPEZDW-FTJOPAKQSA-N,520.3403,4.53,[M+H]+,18:2,"PC(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
14,LMGP01050056,LSOWKZULVQWMLY-APPDJCNMSA-N,568.3409,4.55,[M+H]+,22:6,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
15,LMGP02050051,YWOCITMXHHTBAW-XSQXPFHXSA-N,502.2940,4.57,[M+H]+,20:4,"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050052,BAKUYTLDCVITBO-YSKCIPFOSA-N,502.2940,4.57,[M+H]+,20:4,"LysoPE(0:0/20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050067,JPNPIRVRGLGTRE-YSKCIPFOSA-N,502.2940,4.57,[M+H]+,20:4,"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
15,LMGP02050009,ROPRRXYVXLDXQO-XSQXPFHXSA-N,502.2940,4.57,[M+H]+,20:4,"PE(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
16,LMGP02050060,TWBVHOYVCUOMJY-PAUXXPOVSA-N,526.2943,4.65,[M+H]+,22:6,"LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","Monoacylglycerophosphoethanolamines",,"PL"
16,LMGP02050013,XEVRBOQZSXWGQO-PAUXXPOVSA-N,526.2943,4.65,[M+H]+,22:6,"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
17,LMGP02050041,SVRBKLJIDJHADS-USWSLJGRSA-N,478.2941,4.65,[M+H]+,18:2,"LysoPE(0:0/18:2(9Z,12Z))","Monoacylglycerophosphoethanolamines",,"PL"
17,LMGP02050011,DBHKHNGBVGWQJE-USWSLJGRSA-N,478.2941,4.65,[M+H]+,18:2,"PE(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphoethanolamines",,"PL"
18,LMGP01050140,GOMVPVRDBLLHQC-VEJNOCSESA-N,544.3411,4.75,[M+H]+,20:4,"LysoPC(20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphocholines",,"PL"
