Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>520.3395@3.07,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,1115764.3759237682,2172158.3333333335
>>520.3399@3.07,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,2,,N,N,0,1513500
>>520.3390@3.05,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,12,,N,N,0,2179070
>>520.3398@3.06,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,12,,N,N,0,1430760
>>520.3398@3.07,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,4,,N,N,0,1976830
>>520.3391@3.06,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,1374620
>>520.3394@3.08,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,5,,N,N,0,1435990
>>520.3398@3.07,,,20181130_pos_VIR1,Monoacylglycerophosphocholines,5,,Y,N,0,5043090
>>520.3391@3.07,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,12,,N,N,0,1330290
>>520.3391@3.08,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,1161960
>>520.3391@3.07,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,12,,Y,N,0,3154710
>>520.3394@3.06,,,20181130_pos_VIS2,Monoacylglycerophosphocholines,12,,Y,N,0,3498860
>>520.3399@3.06,,,20181130_pos_VIS3,Monoacylglycerophosphocholines,12,,Y,N,0,1966220
>544.3403@3.24,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,3136120.2499678377,8749195
>>544.3404@3.25,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,5,,N,N,0,5904290
>>544.3404@3.25,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,7,,N,N,0,10380100
>>544.3404@3.24,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,5,,N,N,0,7263170
>>544.3403@3.24,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,12,,N,N,0,11428400
>>544.3403@3.24,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,7909440
>>544.3404@3.24,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,12,,N,N,0,9224900
>>544.3402@3.23,,,20181130_pos_VIR1,Monoacylglycerophosphocholines,2,,Y,N,0,16324800
>>544.3403@3.24,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,5,,N,N,0,5463940
>>544.3403@3.24,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,4719160
>>544.3404@3.25,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,12,,N,N,0,8169740
>>544.3403@3.23,,,20181130_pos_VIS2,Monoacylglycerophosphocholines,11,,N,N,0,11545000
>>544.3403@3.23,,,20181130_pos_VIS3,Monoacylglycerophosphocholines,5,,N,N,0,6657400
>520.3398@3.31,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,9640752.842530383,15872809.166666666
>>520.3399@3.30,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,3,,Y,N,0,8532850
>>520.3398@3.30,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,12,,Y,N,0,13548000
>>520.3398@3.31,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,3,,Y,N,0,10094700
>>520.3398@3.30,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,12,,Y,N,0,12531400
>>520.3399@3.31,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,4,,Y,N,0,9517700
>>520.3399@3.31,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,12,,Y,N,0,10656700
>>520.3397@3.31,,,20181130_pos_VIR1,Monoacylglycerophosphocholines,12,,Y,N,0,39840500
>>520.3398@3.32,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,8,,Y,N,0,9593100
>>520.3398@3.31,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,Y,N,0,8809060
>>520.3400@3.32,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,12,,Y,N,0,18758400
>>520.3397@3.31,,,20181130_pos_VIS2,Monoacylglycerophosphocholines,12,,Y,N,0,32355000
>>520.3397@3.31,,,20181130_pos_VIS3,Monoacylglycerophosphocholines,12,,Y,N,0,16236300
>524.3713@5.29,,Approved,Super Sample,"1-alkyl,2-acylglycerophosphocholines",12,,Y,N,12415843.844312703,8336799.166666667
>>524.3714@5.31,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,12,,N,N,0,1581960
>>524.3717@5.29,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,12,,N,N,0,2438800
>>524.3713@5.29,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,10,,N,N,0,1216280
>>524.3715@5.28,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,12,,N,N,0,3312260
>>524.3701@5.29,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,12,,N,N,0,2820810
>>524.3716@5.28,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,3,,N,N,0,2808500
>>524.3713@5.29,,,20181130_pos_VIR1,"1-alkyl,2-acylglycerophosphocholines",7,,Y,N,0,35631500
>>524.3716@5.31,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,12,,N,N,0,2900180
>>524.3717@5.29,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,1999900
>>524.3715@5.31,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,5,,N,N,0,4270890
>>524.3713@5.29,,,20181130_pos_VIS2,Monoacylglycerophosphocholines,12,,Y,N,0,36402900
>>524.3708@5.30,,,20181130_pos_VIS3,"1-alkyl,2-acylglycerophosphocholines",3,,Y,N,0,4657610
>524.3715@5.68,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,137004269.7370566,86863350
>>524.3716@5.68,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,12,,Y,N,0,17784500
>>524.3715@5.67,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,6,,Y,N,0,21784100
>>524.3717@5.67,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,12,,Y,N,0,16828500
>>524.3717@5.68,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,12,,Y,N,0,29874300
>>524.3716@5.67,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,12,,Y,N,0,20771300
>>524.3715@5.67,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,12,,Y,N,0,20666600
>>524.3712@5.68,,,20181130_pos_VIR1,Monoacylglycerophosphocholines,11,,Y,N,0,335778000
>>524.3716@5.68,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,12,,Y,N,0,22095700
>>524.3715@5.68,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,Y,N,0,23866000
>>524.3715@5.68,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,3,,Y,N,0,38234500
>>524.3712@5.68,,,20181130_pos_VIS2,"1-alkyl,2-acylglycerophosphocholines",9,,Y,N,0,441427000
>>524.3715@5.68,,,20181130_pos_VIS3,Monoacylglycerophosphocholines,1,,Y,N,0,53249700
>524.3718@6.12,,Approved,Super Sample,Monoacylglycerophosphocholines,12,,Y,N,5890299.374088362,3331800.5
>>524.3717@6.14,,,20181130_pos_SIR1,Monoacylglycerophosphocholines,12,,N,N,0,135961
>>524.3716@6.17,,,20181130_pos_SIR2,Monoacylglycerophosphocholines,3,,N,N,0,143196
>>524.3717@6.09,,,20181130_pos_SIR3,Monoacylglycerophosphocholines,12,,N,N,0,264298
>>524.3717@6.09,,,20181130_pos_SIS1,Monoacylglycerophosphocholines,1,,N,N,0,447429
>>524.3719@6.13,,,20181130_pos_SIS2,Monoacylglycerophosphocholines,2,,N,N,0,189668
>>524.3719@6.17,,,20181130_pos_SIS3,Monoacylglycerophosphocholines,12,,N,N,0,298435
>>524.3715@6.18,,,20181130_pos_VIR1,"1-alkyl,2-acylglycerophosphocholines",10,,Y,N,0,14754500
>>524.3717@6.11,,,20181130_pos_VIR2,Monoacylglycerophosphocholines,12,,N,N,0,270374
>>524.3720@6.04,,,20181130_pos_VIR3,Monoacylglycerophosphocholines,12,,N,N,0,1720330
>>524.3724@6.04,,,20181130_pos_VIS1,Monoacylglycerophosphocholines,12,,N,N,0,3150300
>>524.3715@6.19,,,20181130_pos_VIS2,Monoacylglycerophosphocholines,12,,Y,N,0,17828800
>>524.3716@6.09,,,20181130_pos_VIS3,Monoacylglycerophosphocholines,8,,N,N,0,778315
>772.5783@8.04,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,58878.24829745183,273834.0833333333
>>772.5783@8.09,,,20181130_pos_SIR1,Diacylglycerophosphocholines,12,,Y,N,0,329252
>>772.5783@8.02,,,20181130_pos_SIR2,Diacylglycerophosphocholines,1,,Y,N,0,182607
>>772.5784@8.02,,,20181130_pos_SIR3,Diacylglycerophosphocholines,4,,Y,N,0,300410
>>772.5783@8.06,,,20181130_pos_SIS1,Diacylglycerophosphocholines,2,,Y,N,0,194564
>>772.5784@8.03,,,20181130_pos_SIS2,Diacylglycerophosphocholines,4,,Y,N,0,239818
>>772.5783@8.02,,,20181130_pos_SIS3,Diacylglycerophosphocholines,5,,Y,N,0,367814
>>772.5783@8.04,,,20181130_pos_VIR1,Diacylglycerophosphocholines,2,,Y,N,0,331303
>>772.5784@8.07,,,20181130_pos_VIR2,Diacylglycerophosphocholines,12,,Y,N,0,189195
>>772.5782@8.03,,,20181130_pos_VIR3,Diacylglycerophosphocholines,12,,Y,N,0,251299
>>772.5779@8.06,,,20181130_pos_VIS1,Diacylglycerophosphocholines,12,,N,N,0,299777
>>772.5783@8.04,,,20181130_pos_VIS2,Diacylglycerophosphocholines,12,,Y,N,0,310277
>>772.5783@8.03,,,20181130_pos_VIS3,Diacylglycerophosphocholines,12,,Y,N,0,289693
>816.6407@8.84,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,37422.360077974176,409255.8333333333
>>816.6408@8.86,,,20181130_pos_SIR1,Diacylglycerophosphocholines,2,,Y,N,0,407217
>>816.6407@8.80,,,20181130_pos_SIR2,Diacylglycerophosphocholines,2,,N,N,0,382245
>>816.6406@8.88,,,20181130_pos_SIR3,Diacylglycerophosphocholines,2,,Y,N,0,426985
>>816.6408@8.88,,,20181130_pos_SIS1,Diacylglycerophosphocholines,12,,N,N,0,396685
>>816.6409@8.81,,,20181130_pos_SIS2,Diacylglycerophosphocholines,12,,N,N,0,368615
>>816.6408@8.80,,,20181130_pos_SIS3,Diacylglycerophosphocholines,12,,N,N,0,363006
>>816.6408@8.82,,,20181130_pos_VIR1,Diacylglycerophosphocholines,4,,N,N,0,391920
>>816.6407@8.81,,,20181130_pos_VIR2,Diacylglycerophosphocholines,12,,N,N,0,412306
>>816.6409@8.81,,,20181130_pos_VIR3,Diacylglycerophosphocholines,12,,Y,N,0,370392
