Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
520.3395@3.07,"3","78.68","99.87","99.65","74.19","1","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","0.6","[M+H]+"
544.3403@3.24,"3","78.57","99.61","99.78","72.47","2","LysoPC(20:4(8Z,11Z,14Z,17Z))","C28H50NO7P","Monoacylglycerophosphocholines","20:4","-","543.3325","1.0","[M+H]+"
,"3","76.69","89.65","97.62","56.94","1","LysoPC(18:1(11Z))","C26H52NO7P","Monoacylglycerophosphocholines","18:1","-","521.3481","5.5","[M+Na]+"
520.3398@3.31,"3","78.45","100.00","99.82","69.22","3","PC(18:2(2E,4E)/0:0)","C26H50NO7P","Monoacylglycerophosphocholines","18:2","-","519.3325","0.1","[M+H]+"
524.3713@5.29,"3","78.37","99.92","99.96","67.64","1","PC(O-16:0/2:0)","C26H54NO7P","1-alkyl,2-acylglycerophosphocholines","18:0","-","523.3638","0.5","[M+H]+"
,"3","78.24","99.92","99.96","64.91","1","PC(0:0/18:0)","C26H54NO7P","Monoacylglycerophosphocholines","18:0","-","523.3638","0.5","[M+H]+"
524.3715@5.68,"3","78.09","99.76","98.19","64.10","2","PC(0:0/18:0)","C26H54NO7P","Monoacylglycerophosphocholines","18:0","-","523.3638","0.8","[M+H]+"
,"3","78.07","99.76","98.19","63.62","2","PC(O-16:0/2:0)","C26H54NO7P","1-alkyl,2-acylglycerophosphocholines","18:0","-","523.3638","0.8","[M+H]+"
524.3718@6.12,"3","78.27","99.39","99.72","66.96","2","PC(0:0/18:0)","C26H54NO7P","Monoacylglycerophosphocholines","18:0","-","523.3638","1.3","[M+H]+"
,"3","78.24","99.39","99.72","66.39","2","PC(O-16:0/2:0)","C26H54NO7P","1-alkyl,2-acylglycerophosphocholines","18:0","-","523.3638","1.3","[M+H]+"
772.5783@8.04,"3","68.89","61.81","0.00","54.13","1","PC(13:0/22:2(13Z,16Z))","C43H82NO8P","Diacylglycerophosphocholines","35:2","-","771.5778","8.8","[M+H]+"
816.6407@8.84,"3","72.91","61.52","79.12","56.13","1","PC(14:0/24:1(15Z))","C46H90NO8P","Diacylglycerophosphocholines","38:1","-","815.6404","8.5","[M+H]+"
