GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGP01050034,CLDXAAPENVNFAW-JRMAHNDFSA-N,520.3395,3.07,[M+H]+,18:2,"PC(18:2(2E,4E)/0:0)","Monoacylglycerophosphocholines",,"PL"
1,LMGP01050035,SPJFYYJXNPEZDW-FTJOPAKQSA-N,520.3395,3.07,[M+H]+,18:2,"PC(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050140,GOMVPVRDBLLHQC-VEJNOCSESA-N,544.3403,3.24,[M+H]+,20:4,"LysoPC(20:4(8Z,11Z,14Z,17Z))","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050121,IGJKYDBBINVMLH-JXRLJXCWSA-N,544.3403,3.24,[M+H]+,20:4,"PC(0:0/20:4(5Z,8Z,11Z,14Z))","Monoacylglycerophosphocholines",,"PL"
2,LMGP01050048,LAXQYRRMGGEGOH-JXRLJXCWSA-N,544.3403,3.24,[M+H]+,20:4,"PC(20:4(5Z,8Z,11Z,14Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
3,LMGP01050034,CLDXAAPENVNFAW-JRMAHNDFSA-N,520.3398,3.31,[M+H]+,18:2,"PC(18:2(2E,4E)/0:0)","Monoacylglycerophosphocholines",,"PL"
3,LMGP01050035,SPJFYYJXNPEZDW-FTJOPAKQSA-N,520.3398,3.31,[M+H]+,18:2,"PC(18:2(9Z,12Z)/0:0)","Monoacylglycerophosphocholines",,"PL"
4,LMGP01020046,HVAUUPRFYPCOCA-AREMUKBSSA-N,524.3713,5.29,[M+H]+,18:0,"PC(O-16:0/2:0)","1-alkyl,2-acylglycerophosphocholines",,"PL"
5,LMGP01050076,IQGPMZRCLCCXAG-RUZDIDTESA-N,524.3715,5.68,[M+H]+,18:0,"PC(0:0/18:0)","Monoacylglycerophosphocholines",,"PL"
5,LMGP01050026,IHNKQIMGVNPMTC-RUZDIDTESA-N,524.3715,5.68,[M+H]+,18:0,"PC(18:0/0:0)","Monoacylglycerophosphocholines",,"PL"
6,LMGP01050076,IQGPMZRCLCCXAG-RUZDIDTESA-N,524.3718,6.12,[M+H]+,18:0,"PC(0:0/18:0)","Monoacylglycerophosphocholines",,"PL"
6,LMGP01050026,IHNKQIMGVNPMTC-RUZDIDTESA-N,524.3718,6.12,[M+H]+,18:0,"PC(18:0/0:0)","Monoacylglycerophosphocholines",,"PL"
7,LMGP01011360,DYODNQFHUKULKS-AEMPDOMJSA-N,772.5783,8.04,[M+H]+,35:2,"PC(13:0/22:2(13Z,16Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01011422,XSSUJRSOHXBICQ-GPDPEMMZSA-N,772.5783,8.04,[M+H]+,35:2,"PC(15:0/20:2(11Z,14Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01011451,NOFVNJBAOZZAJT-PHNHSUJYSA-N,772.5783,8.04,[M+H]+,35:2,"PC(15:1(9Z)/20:1(11Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01011487,KUALEIHSUJVABA-CSUDKONVSA-N,772.5783,8.04,[M+H]+,35:2,"PC(16:1(9Z)/19:1(9Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01011505,ZSKWZJYUVZYDQU-WESJWMGVSA-N,772.5783,8.04,[M+H]+,35:2,"PC(17:0/18:2(9Z,12Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01010516,GIPZQCAVEQRWOM-IKJFKDIMSA-N,816.6407,8.84,[M+H]+,38:1,"PC(14:0/24:1(15Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01011471,AIJHWVYDYFGYAO-MWEXPPKQSA-N,816.6407,8.84,[M+H]+,38:1,"PC(16:0/22:1(11Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01010638,BBIXKOPOMMUIOM-UIJSWADASA-N,816.6407,8.84,[M+H]+,38:1,"PC(16:0/22:1(13Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01011494,PIILEMYAXFKXLL-VPMPJQFESA-N,816.6407,8.84,[M+H]+,38:1,"PC(16:1(9Z)/22:0)","Diacylglycerophosphocholines",,"PL"
8,LMGP01011545,IWEPPNHWLVZZLU-NBTXLFQMSA-N,816.6407,8.84,[M+H]+,38:1,"PC(17:1(9Z)/21:0)","Diacylglycerophosphocholines",,"PL"
9,LMGP01011391,FLXFESILEUFIBE-SHAXIEEXSA-N,728.5170,10.85,[M+H]+,32:3,"PC(14:1(9Z)/18:2(9Z,12Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011617,MEEAGHVLDDTFHZ-SHAXIEEXSA-N,728.5170,10.85,[M+H]+,32:3,"PC(18:2(9Z,12Z)/14:1(9Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011331,KSFNDKKWDZYJSF-XDBAXXFZSA-N,728.5170,10.85,[M+H]+,32:3,"PC(12:0/20:3(8Z,11Z,14Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011369,VZQRMZUULSWEHB-XCFXQIAYSA-N,728.5170,10.85,[M+H]+,32:3,"PC(14:0/18:3(6Z,9Z,12Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01010497,AGQKQQAJRFTOGL-XPTMXNASSA-N,728.5170,10.85,[M+H]+,32:3,"PC(14:0/18:3(9Z,12Z,15Z))","Diacylglycerophosphocholines",,"PL"
10,LMGP01010508,WCNDCUHEAPXSRE-HXAAYVMLSA-N,752.5221,11.07,[M+H]+,34:5,"PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))","Diacylglycerophosphocholines",,"PL"
10,LMGP01011401,QVSPZSNXLLWRIJ-UFHOOPDGSA-N,752.5221,11.07,[M+H]+,34:5,"PC(14:1(9Z)/20:4(5Z,8Z,11Z,14Z))","Diacylglycerophosphocholines",,"PL"
10,LMGP01010692,ZNSRWHZSOOOECB-IHLJWWGMSA-N,752.5221,11.07,[M+H]+,34:5,"PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))","Diacylglycerophosphocholines",,"PL"
10,LMGP01011707,HABFSWQTJVYUQT-GJPRVVQUSA-N,752.5221,11.07,[M+H]+,34:5,"PC(18:4(6Z,9Z,12Z,15Z)/16:1(9Z))","Diacylglycerophosphocholines",,"PL"
10,LMGP01011900,BMEBSYWMLXABAW-MRYWNOOGSA-N,752.5221,11.07,[M+H]+,34:5,"PC(20:4(5Z,8Z,11Z,14Z)/14:1(9Z))","Diacylglycerophosphocholines",,"PL"
11,LMGP01011369,VZQRMZUULSWEHB-XCFXQIAYSA-N,728.5222,11.18,[M+H]+,32:3,"PC(14:0/18:3(6Z,9Z,12Z))","Diacylglycerophosphocholines",,"PL"
11,LMGP01010497,AGQKQQAJRFTOGL-XPTMXNASSA-N,728.5222,11.18,[M+H]+,32:3,"PC(14:0/18:3(9Z,12Z,15Z))","Diacylglycerophosphocholines",,"PL"
11,LMGP01011391,FLXFESILEUFIBE-SHAXIEEXSA-N,728.5222,11.18,[M+H]+,32:3,"PC(14:1(9Z)/18:2(9Z,12Z))","Diacylglycerophosphocholines",,"PL"
11,LMGP01011617,MEEAGHVLDDTFHZ-SHAXIEEXSA-N,728.5222,11.18,[M+H]+,32:3,"PC(18:2(9Z,12Z)/14:1(9Z))","Diacylglycerophosphocholines",,"PL"
11,LMGP01011642,UXEFXNOSLOCOLX-ZCHSEWAGSA-N,728.5222,11.18,[M+H]+,32:3,"PC(18:3(6Z,9Z,12Z)/14:0)","Diacylglycerophosphocholines",,"PL"
12,LMGP01011391,FLXFESILEUFIBE-SHAXIEEXSA-N,728.5225,11.34,[M+H]+,32:3,"PC(14:1(9Z)/18:2(9Z,12Z))","Diacylglycerophosphocholines",,"PL"
