Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>706.5371@5.74,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,219275.80155345396,829331.0833333334
>>706.5373@5.75,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,777043
>>706.5369@5.73,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,684604
>>706.5367@5.75,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,419064
>>706.5369@5.72,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,731161
>>706.5368@5.74,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,805725
>>706.5370@5.77,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,874443
>>706.5376@5.74,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,1097820
>>706.5370@5.76,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,1306330
>>706.5371@5.73,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,749330
>>706.5369@5.74,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,954438
>>706.5372@5.74,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,926674
>>706.5375@5.74,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,625341
>732.5530@5.88,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,820601.6082402932,1647132.3333333333
>>732.5532@5.87,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,818948
>>732.5531@5.88,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1016980
>>732.5526@5.89,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1233740
>>732.5529@5.88,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1086330
>>732.5529@5.89,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1250700
>>732.5529@5.87,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1345730
>>732.5535@5.89,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,2414170
>>732.5528@5.89,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,3743360
>>732.5530@5.88,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1173900
>>732.5530@5.88,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,2375600
>>732.5530@5.88,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,2166420
>>732.5533@5.89,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1139710
>720.5527@6.02,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,129723.37217354625,476638.5833333333
>>720.5530@6.07,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,351598
>>720.5529@5.92,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,468768
>>720.5525@6.01,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,559464
>>720.5524@6.06,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,432549
>>720.5525@6.02,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,545347
>>720.5525@5.97,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,558479
>>720.5532@6.03,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,125062
>>720.5524@5.91,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,610398
>>720.5527@6.04,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,559533
>>720.5525@5.96,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,526853
>>720.5525@6.18,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,404998
>>720.5530@6.00,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,576614
>782.5678@6.03,,Approved,Super Sample,Diacylglycerophosphocholines,12,,Y,N,1238823.7769172054,1748547.5833333333
>>782.5669@6.03,,,"QE_18_42_AT_SIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,795129
>>782.5683@6.03,,,"QE_18_42_AT_SIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1089120
>>782.5680@6.03,,,"QE_18_42_AT_SIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1053800
>>782.5674@6.03,,,"QE_18_42_AT_SIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,921887
>>782.5683@6.03,,,"QE_18_42_AT_SIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,1316950
>>782.5681@6.03,,,"QE_18_42_AT_SIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,1150940
>>782.5684@6.02,,,"QE_18_42_AT_VIR1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,3493340
>>782.5677@6.03,,,"QE_18_42_AT_VIR2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,5082230
>>782.5682@6.04,,,"QE_18_42_AT_VIR3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,1150040
>>782.5671@6.02,,,"QE_18_42_AT_VIS1_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,2175950
>>782.5670@6.03,,,"QE_18_42_AT_VIS2_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,Y,N,0,1816810
>>782.5686@6.04,,,"QE_18_42_AT_VIS3_1_0,00025_pos_DDA",Diacylglycerophosphocholines,12,,N,N,0,936375
