GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMGP01010395,SVIWSHKAEXRJFD-PSXMRANNSA-N,706.5371,5.74,[M+H]+,30:0,"PC(10:0/20:0)","Diacylglycerophosphocholines",,"PL"
1,LMGP01010416,QEJBTEZRLKJPKT-PSXMRANNSA-N,706.5371,5.74,[M+H]+,30:0,"PC(11:0/19:0)","Diacylglycerophosphocholines",,"PL"
1,LMGP01010438,XMMPMEPNQVLMLI-PSXMRANNSA-N,706.5371,5.74,[M+H]+,30:0,"PC(12:0/18:0)","Diacylglycerophosphocholines",,"PL"
1,LMGP01010461,AZEAMUNCULVBPK-PSXMRANNSA-N,706.5371,5.74,[M+H]+,30:0,"PC(13:0/17:0)","Diacylglycerophosphocholines",,"PL"
1,LMGP01010481,RFVFQQWKPSOBED-PSXMRANNSA-N,706.5371,5.74,[M+H]+,30:0,"PC(14:0/16:0)","Diacylglycerophosphocholines",,"PL"
2,LMGP01011329,BUFPMOFUFXIVNG-YWTUKGCKSA-N,732.5530,5.88,[M+H]+,32:1,"PC(12:0/20:1(11Z))","Diacylglycerophosphocholines",,"PL"
2,LMGP01011352,CDQKDVHMZZWJNV-XVKMAEEJSA-N,732.5530,5.88,[M+H]+,32:1,"PC(13:0/19:1(9Z))","Diacylglycerophosphocholines",,"PL"
2,LMGP01010490,GMJKBBMXRYZKEP-WYRBGLKBSA-N,732.5530,5.88,[M+H]+,32:1,"PC(14:0/18:1(11Z))","Diacylglycerophosphocholines",,"PL"
2,LMGP01010492,NXASLICYTANYBI-OQHNRNOKSA-N,732.5530,5.88,[M+H]+,32:1,"PC(14:0/18:1(9Z))","Diacylglycerophosphocholines",,"PL"
2,LMGP01011389,USMRUWLOXQOAAX-IUXSEFJDSA-N,732.5530,5.88,[M+H]+,32:1,"PC(14:1(9Z)/18:0)","Diacylglycerophosphocholines",,"PL"
3,LMGP01010396,QIPBUWAWTWBGPP-DIPNUNPCSA-N,720.5527,6.02,[M+H]+,31:0,"PC(10:0/21:0)","Diacylglycerophosphocholines",,"PL"
3,LMGP01010417,OELOTERACVRIQH-DIPNUNPCSA-N,720.5527,6.02,[M+H]+,31:0,"PC(11:0/20:0)","Diacylglycerophosphocholines",,"PL"
3,LMGP01011327,WMOFTJILTZIKIH-DIPNUNPCSA-N,720.5527,6.02,[M+H]+,31:0,"PC(12:0/19:0)","Diacylglycerophosphocholines",,"PL"
3,LMGP01011346,JCYHLCNGJZYTHB-DIPNUNPCSA-N,720.5527,6.02,[M+H]+,31:0,"PC(13:0/18:0)","Diacylglycerophosphocholines",,"PL"
3,LMGP01011366,XVICSSKXVFMPSZ-DIPNUNPCSA-N,720.5527,6.02,[M+H]+,31:0,"PC(14:0/17:0)","Diacylglycerophosphocholines",,"PL"
4,LMGP01011378,UDOCLKXJVMJFLD-CCHOKCMJSA-N,782.5678,6.03,[M+H]+,36:4,"PC(14:0/22:4(7Z,10Z,13Z,16Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010629,IIZPXYDJLKNOIY-LBKRVYFZSA-N,782.5678,6.03,[M+H]+,36:4,"PC(16:0/20:4(5E,8E,11E,14E))","Diacylglycerophosphocholines",,"PL"
4,LMGP01010007,IIZPXYDJLKNOIY-JXPKJXOSSA-N,782.5678,6.03,[M+H]+,36:4,"PC(16:0/20:4(5Z,8Z,11Z,14Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01012136,JAVWFBAAZSHHAD-HCYAGMRRSA-N,782.5678,6.03,[M+H]+,36:4,"PC(16:0/20:4(8Z,11Z,14Z,17Z))","Diacylglycerophosphocholines",,"PL"
4,LMGP01012138,SKHRULFMZYNDLW-IRKGUOCTSA-N,782.5678,6.03,[M+H]+,36:4,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01011336,XJHXMEGXCYRRPW-HRJWAVGKSA-N,758.5684,6.10,[M+H]+,34:2,"PC(12:0/22:2(13Z,16Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01011373,IRYMXEVDAKMFIF-YBLKGUNISA-N,758.5684,6.10,[M+H]+,34:2,"PC(14:0/20:2(11Z,14Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01011398,OLUKQTJCNPHKRC-LYJZGNKWSA-N,758.5684,6.10,[M+H]+,34:2,"PC(14:1(9Z)/20:1(11Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01011449,HHUYKUHJEUXRDC-WVRXYBSSSA-N,758.5684,6.10,[M+H]+,34:2,"PC(15:1(9Z)/19:1(9Z))","Diacylglycerophosphocholines",,"PL"
5,LMGP01010585,YIESKSYNEFFZIQ-CUXJVTSPSA-N,758.5684,6.10,[M+H]+,34:2,"PC(16:0/18:2(10E,12Z))","Diacylglycerophosphocholines",,"PL"
6,LMGP01010396,QIPBUWAWTWBGPP-DIPNUNPCSA-N,720.5526,6.11,[M+H]+,31:0,"PC(10:0/21:0)","Diacylglycerophosphocholines",,"PL"
6,LMGP01010417,OELOTERACVRIQH-DIPNUNPCSA-N,720.5526,6.11,[M+H]+,31:0,"PC(11:0/20:0)","Diacylglycerophosphocholines",,"PL"
6,LMGP01011327,WMOFTJILTZIKIH-DIPNUNPCSA-N,720.5526,6.11,[M+H]+,31:0,"PC(12:0/19:0)","Diacylglycerophosphocholines",,"PL"
6,LMGP01011346,JCYHLCNGJZYTHB-DIPNUNPCSA-N,720.5526,6.11,[M+H]+,31:0,"PC(13:0/18:0)","Diacylglycerophosphocholines",,"PL"
6,LMGP01011366,XVICSSKXVFMPSZ-DIPNUNPCSA-N,720.5526,6.11,[M+H]+,31:0,"PC(14:0/17:0)","Diacylglycerophosphocholines",,"PL"
7,LMGP01010645,MWXAIAMSOXOQJK-JIXVGTEKSA-N,808.5810,6.12,[M+H]+,38:5,"PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01010647,ARDJUHDXABDVFH-ZHSIBHBUSA-N,808.5810,6.12,[M+H]+,38:5,"PC(16:0/22:5(7Z,10Z,13Z,16Z,19Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01011497,XJISBSFDFOVVHI-QIOBQPIHSA-N,808.5810,6.12,[M+H]+,38:5,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01010805,ZMNDHWFRGYCJKG-UQIQIHEKSA-N,808.5810,6.12,[M+H]+,38:5,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))","Diacylglycerophosphocholines",,"PL"
7,LMGP01010807,QRHBQDASPXNHQA-DRCLNZIMSA-N,808.5810,6.12,[M+H]+,38:5,"PC(18:0/20:5(9Z,11Z,13Z,15Z,17Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01011406,LMYYUVAVNWPEPG-GXAHKNHCSA-N,784.5843,6.19,[M+H]+,36:3,"PC(14:1(9Z)/22:2(13Z,16Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01010622,XMZFUVYOYPLVOA-VLHUWQDUSA-N,784.5843,6.19,[M+H]+,36:3,"PC(16:0/20:3(5Z,8Z,11Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01010624,SRIGHEHXEGELQJ-GDRFEWIRSA-N,784.5843,6.19,[M+H]+,36:3,"PC(16:0/20:3(8E,11E,14E))","Diacylglycerophosphocholines",,"PL"
8,LMGP01010627,SRIGHEHXEGELQJ-YYQUKWHJSA-N,784.5843,6.19,[M+H]+,36:3,"PC(16:0/20:3(8Z,11Z,14Z))","Diacylglycerophosphocholines",,"PL"
8,LMGP01011490,IIGHFIDXVYEMME-ZAEMQJNLSA-N,784.5843,6.19,[M+H]+,36:3,"PC(16:1(9Z)/20:2(11Z,14Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011353,HILNHYCWLDRSKJ-DPTAKULKSA-N,746.5676,6.27,[M+H]+,33:1,"PC(13:0/20:1(11Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011371,OHSAUMMSENJPTJ-KUNNKMQBSA-N,746.5676,6.27,[M+H]+,33:1,"PC(14:0/19:1(9Z))","Diacylglycerophosphocholines",,"PL"
9,LMGP01011395,XUJPXXPURAZXIE-DTKYWWSASA-N,746.5676,6.27,[M+H]+,33:1,"PC(14:1(9Z)/19:0)","Diacylglycerophosphocholines",,"PL"
9,LMGP01010541,GXTATYLPYLLNLV-MGIDVFSBSA-N,746.5676,6.27,[M+H]+,33:1,"PC(15:0/18:1(11Z))","Diacylglycerophosphocholines",,"PL"
