Compound,Adduct info,Approved,Sample,Lipid Class,Num. of samples,Adducts,Has MS/MS,Has OX Chain,StdDev,Area
>432.3063@1.61,,Approved,Super Sample,Sphingoid base analogs,12,,Y,N,499655.41531469877,319977.64166666666
>>432.2960@1.63,,,"QE_18_45_0,05p_SIR1_20181110072802",Sphingoid base analogs,7,,Y,N,0,82985
>>432.3017@1.63,,,"QE_18_45_0,05p_SIR2_20181110080303",Sphingoid base analogs,2,,N,N,0,109893
>>432.3147@1.67,,,"QE_18_45_0,05p_SIR3_20181110083804",Sphingoid base analogs,4,,N,N,0,38566
>>432.2954@1.53,,,"QE_18_45_0,05p_SIS1_20181110050800",Sphingoid base analogs,12,,N,N,0,72137
>>432.2991@1.66,,,"QE_18_45_0,05p_SIS2_20181110054301",Sphingoid base analogs,3,,N,N,0,117754
>>432.3038@1.56,,,"QE_18_45_0,05p_SIS3_20181110061802",Sphingoid base analogs,5,,N,N,0,89580
>>432.3158@1.64,,,"QE_18_45_0,05p_VIR1_20181110124308",Sphingoid base analogs,12,,Y,N,0,1246350
>>432.3230@1.54,,,"QE_18_45_0,05p_VIR2_20181110131811",Sphingoid base analogs,5,,N,N,0,58495
>>432.2960@1.57,,,"QE_18_45_0,05p_VIR3_20181110135312",Sphingoid base analogs,12,,N,N,0,68901
>>432.3075@1.60,,,"QE_18_45_0,05p_VIS1_20181110094805",Sphingoid base analogs,12,,N,N,0,171457
>>432.3116@1.63,,,"QE_18_45_0,05p_VIS2_20181110102309",Sphingoid base analogs,7,,Y,N,0,1597270
>>432.3113@1.65,,,"QE_18_45_0,05p_VIS3_20181110105810",Sphingoid base analogs,3,,N,N,0,186343
>432.3151@1.87,,Approved,Super Sample,Sphingoid base analogs,12,,Y,N,1283714.9507698996,689791.0499999999
>>432.3218@1.84,,,"QE_18_45_0,05p_SIR1_20181110072802",Sphingoid base analogs,10,,N,N,0,42976
>>432.3170@1.75,,,"QE_18_45_0,05p_SIR2_20181110080303",Sphingoid base analogs,1,,N,N,0,88342
>>432.3094@1.87,,,"QE_18_45_0,05p_SIR3_20181110083804",Sphingoid base analogs,12,,N,N,0,86538
>>432.3193@1.85,,,"QE_18_45_0,05p_SIS1_20181110050800",Sphingoid base analogs,5,,N,N,0,39249
>>432.3250@2.05,,,"QE_18_45_0,05p_SIS2_20181110054301",Sphingoid base analogs,5,,N,N,0,91220
>>432.2966@1.87,,,"QE_18_45_0,05p_SIS3_20181110061802",Sphingoid base analogs,1,,Y,N,0,84296
>>432.3158@1.87,,,"QE_18_45_0,05p_VIR1_20181110124308",Sphingoid base analogs,1,,Y,N,0,3125830
>>432.3150@1.86,,,"QE_18_45_0,05p_VIR2_20181110131811",Sphingoid base analogs,12,,N,N,0,56685
>>432.3308@1.92,,,"QE_18_45_0,05p_VIR3_20181110135312",Sphingoid base analogs,12,,N,N,0,49000
>>432.3070@1.87,,,"QE_18_45_0,05p_VIS1_20181110094805",Sphingoid base analogs,12,,N,N,0,319659
>>432.3116@1.87,,,"QE_18_45_0,05p_VIS2_20181110102309",Sphingoid base analogs,6,,Y,N,0,3929290
