Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
432.3063@1.61,"3","73.30","99.68","0.00","66.68","1","Sphingofungin A","C21H41N3O6","Sphingoid base analogs","","-","431.2995","1.1","[M+H]+"
,"3","65.43","20.99","0.00","66.68","1","Sphingofungin C","C22H41NO7","Sphingoid base analogs","","-","431.2883","24.9","[M+H]+"
,"3","65.43","20.99","0.00","66.68","1","Sphingofungin D","C22H41NO7","Sphingoid base analogs","","-","431.2883","24.9","[M+H]+"
432.3151@1.87,"3","71.86","39.89","90.68","66.80","1","Sphingofungin A","C21H41N3O6","Sphingoid base analogs","","-","431.2995","19.1","[M+H]+"
647.5136@12.43,"3","78.12","97.90","99.98","66.66","2","SM(d18:1/12:0)","C35H71N2O6P","Ceramide phosphocholines (sphingomyelins)","30:1","-","646.5050","2.1","[M+H]+"
673.5296@12.69,"3","77.62","96.79","97.64","61.27","1","SM(d18:2/14:0)","C37H73N2O6P","Ceramide phosphocholines (sphingomyelins)","32:2","-","672.5206","2.5","[M+H]+"
695.5114@12.69,"3","77.96","97.34","98.05","66.52","2","SM(d18:2/14:0)","C37H73N2O6P","Ceramide phosphocholines (sphingomyelins)","32:2","-","672.5206","2.2","[M+Na]+"
673.5294@13.00,"3","77.67","97.35","98.33","60.45","1","SM(d18:2/14:0)","C37H73N2O6P","Ceramide phosphocholines (sphingomyelins)","32:2","-","672.5206","2.3","[M+H]+"
649.5297@13.14,"3","72.38","96.35","0.00","54.92","1","SM(d18:0/12:0)","C35H73N2O6P","Ceramide phosphocholines (sphingomyelins)","30:0","-","648.5206","2.8","[M+H]+"
687.5451@13.70,"3","77.79","97.38","99.58","61.39","1","SM(d18:2/15:0)","C38H75N2O6P","Ceramide phosphocholines (sphingomyelins)","33:2","-","686.5363","2.3","[M+H]+"
675.5446@13.93,"3","77.90","98.74","99.46","61.08","1","SM(d16:1/16:0)","C37H75N2O6P","Ceramide phosphocholines (sphingomyelins)","32:1","-","674.5363","1.6","[M+H]+"
594.5832@14.00,"3","78.44","98.29","96.20","75.97","3","Cer(d18:1/20:0)","C38H75NO3","N-acylsphingosines (ceramides)","38:1","18:1/20:0","593.5747","2.0","[M+H]+"
482.4576@14.07,"3","78.01","99.09","99.43","62.58","2","Cer(d18:1/12:0)","C30H59NO3","N-acylsphingosines (ceramides)","30:1","18:1/12:0","481.4495","1.7","[M+H]+"
675.5444@14.25,"3","78.26","99.25","99.71","67.05","2","SM(d16:1/16:0)","C37H75N2O6P","Ceramide phosphocholines (sphingomyelins)","32:1","-","674.5363","1.2","[M+H]+"
697.5262@14.25,"3","78.75","99.48","99.73","76.37","6","SM(d16:1/16:0)","C37H75N2O6P","Ceramide phosphocholines (sphingomyelins)","32:1","-","674.5363","1.0","[M+Na]+"
508.4729@14.27,"4","99.78","99.69","99.95","96.37","4","Cer(d18:2/14:0)","C32H61NO3","N-acylsphingosines (ceramides)","32:2","18:2/14:0","507.4651","1.0","[M+H]+"
687.5439@14.46,"3","73.15","99.83","0.00","63.36","1","SM(d18:2/15:0)","C38H75N2O6P","Ceramide phosphocholines (sphingomyelins)","33:2","-","686.5363","0.6","[M+H]+"
701.5601@14.46,"3","78.24","99.21","99.26","67.17","2","SM(d16:1/18:1)","C39H77N2O6P","Ceramide phosphocholines (sphingomyelins)","34:2","-","700.5519","1.2","[M+H]+"
723.5420@14.46,"3","78.73","99.29","99.22","76.76","6","SM(d16:1/18:1)","C39H77N2O6P","Ceramide phosphocholines (sphingomyelins)","34:2","-","700.5519","1.1","[M+Na]+"
508.4735@14.53,"3","73.14","98.42","0.00","65.95","2","Cer(d18:2/14:0)","C32H61NO3","N-acylsphingosines (ceramides)","32:2","18:2/14:0","507.4651","2.2","[M+H]+"
727.5741@14.65,"3","76.98","99.45","79.12","61.53","1","SM(d18:2/18:1)","C41H79N2O6P","Ceramide phosphocholines (sphingomyelins)","36:3","-","726.5676","1.0","[M+H]+"
723.5420@14.74,"3","78.26","99.15","99.78","67.04","4","SM(d16:1/18:1)","C39H77N2O6P","Ceramide phosphocholines (sphingomyelins)","34:2","-","700.5519","1.2","[M+Na]+"
701.5596@14.75,"3","78.33","99.79","99.94","67.05","2","SM(d16:1/18:1)","C39H77N2O6P","Ceramide phosphocholines (sphingomyelins)","34:2","-","700.5519","0.6","[M+H]+"
689.5597@14.80,"3","77.88","99.70","97.28","60.82","1","SM(d16:1/17:0)","C38H77N2O6P","Ceramide phosphocholines (sphingomyelins)","33:1","-","688.5519","0.8","[M+H]+"
727.5754@14.87,"3","77.99","99.72","99.05","61.28","1","SM(d18:2/18:1)","C41H79N2O6P","Ceramide phosphocholines (sphingomyelins)","36:3","-","726.5676","0.7","[M+H]+"
677.5594@14.88,"3","78.23","99.94","98.30","66.48","2","SM(d18:0/14:0)","C37H77N2O6P","Ceramide phosphocholines (sphingomyelins)","32:0","-","676.5519","0.3","[M+H]+"
727.5755@15.08,"3","73.04","99.61","0.00","61.52","1","SM(d18:2/18:1)","C41H79N2O6P","Ceramide phosphocholines (sphingomyelins)","36:3","-","726.5676","0.8","[M+H]+"
711.5415@15.08,"3","78.73","99.87","98.42","76.47","6","SM(d16:1/17:0)","C38H77N2O6P","Ceramide phosphocholines (sphingomyelins)","33:1","-","688.5519","0.5","[M+Na]+"
689.5597@15.08,"3","78.30","99.74","99.38","67.04","2","SM(d16:1/17:0)","C38H77N2O6P","Ceramide phosphocholines (sphingomyelins)","33:1","-","688.5519","0.7","[M+H]+"
522.4888@15.17,"3","77.59","99.41","89.40","63.51","2","Cer(d18:2/15:0)","C33H63NO3","N-acylsphingosines (ceramides)","33:2","18:2/15:0","521.4808","1.3","[M+H]+"
703.5752@15.60,"3","78.27","99.86","98.55","67.04","2","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.5","[M+H]+"
725.5570@15.61,"3","78.43","99.95","99.82","68.96","4","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.3","[M+Na]+"
