GroupId,ID,Inchi,m/z,RT,Adduct,Sum composition,Common name,Lipid class,Session,Identification name
1,LMSP03010035,RPTUKVYGSPDHGQ-PSALXKTOSA-N,675.5427,4.84,[M+H]+,32:1,"SM(d16:1/16:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
1,LMSP03010028,KYICBZWZQPCUMO-PSALXKTOSA-N,675.5427,4.84,[M+H]+,32:1,"SM(d18:1/14:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
2,LMSP03010040,QQFVICUNTBNUKN-QQRIYSRRSA-N,701.5583,5.01,[M+H]+,34:2,"SM(d16:1/18:1)","Ceramide phosphocholines (sphingomyelins)",,"SP"
2,LMSP03010041,OAHFTKWSJGVMTG-MBIABJCFSA-N,701.5583,5.01,[M+H]+,34:2,"SM(d18:1/16:1)","Ceramide phosphocholines (sphingomyelins)",,"SP"
2,LMSP03010090,YLWSJLLZUHSIEA-CKSUKHGVSA-N,701.5583,5.01,[M+H]+,34:2,"SM(d18:2/16:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
3,LMSP03010042,OQCPQFVKIYWGRP-GWQJGLRPSA-N,725.5556,5.69,[M+Na]+,34:1,"SM(d16:1/18:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
3,LMSP03010043,VJLGWXPICWQEGB-GWQJGLRPSA-N,725.5556,5.69,[M+Na]+,34:1,"SM(d17:1/17:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
3,LMSP03010003,RWKUXQNLWDTSLO-GWQJGLRPSA-N,725.5556,5.69,[M+Na]+,34:1,"SM(d18:1/16:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
4,LMSP03010004,QHZIGNLCLJPLCU-QPPIDDCLSA-N,705.5900,6.00,[M+H]+,34:0,"SM(d18:0/16:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
5,LMSP03010052,CYAOJEYKBPRRNW-YJFXYUILSA-N,731.6046,6.40,[M+H]+,36:1,"SM(d16:1/20:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
5,LMSP03010031,XYLWKHKCYHMVMA-RVPJYPCXSA-N,731.6046,6.40,[M+H]+,36:1,"SM(d18:0/18:1(9Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
5,LMSP03010001,LKQLRGMMMAHREN-YJFXYUILSA-N,731.6046,6.40,[M+H]+,36:1,"SM(d18:1/18:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
6,LMSP03010052,CYAOJEYKBPRRNW-YJFXYUILSA-N,731.6044,6.56,[M+H]+,36:1,"SM(d16:1/20:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
6,LMSP03010031,XYLWKHKCYHMVMA-RVPJYPCXSA-N,731.6044,6.56,[M+H]+,36:1,"SM(d18:0/18:1(9Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
6,LMSP03010001,LKQLRGMMMAHREN-YJFXYUILSA-N,731.6044,6.56,[M+H]+,36:1,"SM(d18:1/18:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
7,LMSP02010004,YDNKGFDKKRUKPY-TURZORIXSA-N,538.5183,6.66,[M+H]+,34:1,"Cer(d18:1/16:0)","N-acylsphingosines (ceramides)",,"SP"
8,LMSP03010071,FOULCGVQZYQEQM-DNXGLLHMSA-N,785.6518,7.82,[M+H]+,40:2,"SM(d16:1/24:1)","Ceramide phosphocholines (sphingomyelins)",,"SP"
8,LMSP03010072,VBFKEZGCUWHGSK-ADSSWVSQSA-N,785.6518,7.82,[M+H]+,40:2,"SM(d18:1/22:1)","Ceramide phosphocholines (sphingomyelins)",,"SP"
8,LMSP03010092,APNZBDYCMWLVNM-NWHASJFHSA-N,785.6518,7.82,[M+H]+,40:2,"SM(d18:2/22:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
9,LMSP03010007,WKZHECFHXLTOLJ-QYKFWSDSSA-N,813.6831,8.54,[M+H]+,42:2,"SM(d18:1/24:1(15Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
9,LMSP03010081,DACOGJMBYLZYDH-GXJPFUDISA-N,813.6831,8.54,[M+H]+,42:2,"SM(d18:2/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
10,LMSP03010007,WKZHECFHXLTOLJ-QYKFWSDSSA-N,813.6831,8.66,[M+H]+,42:2,"SM(d18:1/24:1(15Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
10,LMSP03010081,DACOGJMBYLZYDH-GXJPFUDISA-N,813.6831,8.66,[M+H]+,42:2,"SM(d18:2/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
11,LMSP03010073,ZMVICCPXQQIKAC-TWKUQIQBSA-N,787.6674,8.76,[M+H]+,40:1,"SM(d16:1/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
11,LMSP03010006,FJJANLYCZUNFSE-TWKUQIQBSA-N,787.6674,8.76,[M+H]+,40:1,"SM(d18:1/22:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
12,LMSP00000006,BDOKQOQOGQPDCY-QJWMWEEBSA-N,578.5851,9.02,[M+H]+,38:1,"Cer(m18:1(4E)/20:0)","Other Sphingolipids",,"SP"
13,LMSP03010007,WKZHECFHXLTOLJ-QYKFWSDSSA-N,813.6824,9.11,[M+H]+,42:2,"SM(d18:1/24:1(15Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
13,LMSP03010081,DACOGJMBYLZYDH-GXJPFUDISA-N,813.6824,9.11,[M+H]+,42:2,"SM(d18:2/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
14,LMSP02010029,HILTUFAERVOALR-MQXYEJFFSA-N,620.5965,9.32,[M+H]+,40:2,"Cer(d18:2/22:0)","N-acylsphingosines (ceramides)",,"SP"
14,LMSP02010067,ZYACUODQFDXZJK-WCQDKGKNSA-N,620.5965,9.32,[M+H]+,40:2,"Cer(d16:2(4E,6E)/24:0)","N-acylsphingosines (ceramides)",,"SP"
15,LMSP03010023,XZBDYCJQWJNNJB-CFLZVKAOSA-N,815.6987,10.24,[M+H]+,42:1,"SM(d18:0/24:1(15Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
15,LMSP03010008,QEDPUVGSSDPBMD-XTAIVQBESA-N,815.6987,10.24,[M+H]+,42:1,"SM(d18:1/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
16,LMSP03010023,XZBDYCJQWJNNJB-CFLZVKAOSA-N,815.6987,10.25,[M+H]+,42:1,"SM(d18:0/24:1(15Z))","Ceramide phosphocholines (sphingomyelins)",,"SP"
16,LMSP03010008,QEDPUVGSSDPBMD-XTAIVQBESA-N,815.6987,10.25,[M+H]+,42:1,"SM(d18:1/24:0)","Ceramide phosphocholines (sphingomyelins)",,"SP"
17,LMSP00000010,FZEIPTFJIHXKQL-OSHZVMBRSA-N,632.6334,10.48,[M+H]+,42:2,"Cer(m18:1(4E)/24:1(15Z))","Other Sphingolipids",,"SP"
18,LMSP02010008,KEPQASGDXIEOIL-GLQCRSEXSA-N,622.6128,10.51,[M+H]+,40:1,"Cer(d18:1/22:0)","N-acylsphingosines (ceramides)",,"SP"
